DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,MinDepth,MinAccuracy,MinSource,MaxDepth,MaxAccuracy,MaxSource
227150,227150,0.500000,MiniPAT,00:00:00 05-Feb-2023,,,,30.000000,0.500000,TAD,74.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 06-Feb-2023,,,,30.000000,0.500000,TAD,157.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 07-Feb-2023,,,,30.000000,0.500000,TAD,70.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 08-Feb-2023,,,,48.000000,16.000000,LightLoc,66.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 09-Feb-2023,,,,32.000000,4.000000,PDT,80.000000,4.000000,PDT
227150,227150,0.500000,MiniPAT,00:00:00 10-Feb-2023,,,,27.500000,0.250000,MixLayer,68.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 11-Feb-2023,,,,30.000000,0.500000,TAD,62.500000,12.500000,TAD
227150,227150,0.500000,MiniPAT,00:00:00 12-Feb-2023,,,,30.000000,0.500000,TAD,70.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 13-Feb-2023,,,,37.500000,0.250000,MixLayer,74.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 14-Feb-2023,,,,25.500000,0.250000,MixLayer,70.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 15-Feb-2023,,,,1.000000,0.250000,MixLayer,72.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 16-Feb-2023,,,,15.500000,0.250000,MixLayer,80.000000,4.000000,PDT
227150,227150,0.500000,MiniPAT,00:00:00 17-Feb-2023,,,,20.000000,0.500000,TAD,56.000000,4.000000,PDT
227150,227150,0.500000,MiniPAT,00:00:00 18-Feb-2023,,,,10.000000,0.500000,TAD,66.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 19-Feb-2023,,,,15.500000,0.250000,MixLayer,48.000000,16.000000,LightLoc
227150,227150,0.500000,MiniPAT,00:00:00 20-Feb-2023,,,,0.000000,0.500000,TAD,56.000000,4.000000,PDT
227150,227150,0.500000,MiniPAT,00:00:00 21-Feb-2023,,,,10.000000,0.500000,TAD,56.000000,4.000000,PDT
227150,227150,0.500000,MiniPAT,00:00:00 22-Feb-2023,,,,10.000000,0.500000,TAD,56.000000,4.000000,PDT
227150,227150,0.500000,MiniPAT,00:00:00 23-Feb-2023,,,,24.000000,0.250000,MixLayer,78.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 24-Feb-2023,,,,10.000000,0.500000,TAD,80.000000,4.000000,PDT
227150,227150,0.500000,MiniPAT,00:00:00 25-Feb-2023,,,,30.000000,0.500000,TAD,76.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 26-Feb-2023,,,,15.500000,0.250000,MixLayer,80.000000,4.000000,PDT
227150,227150,0.500000,MiniPAT,00:00:00 27-Feb-2023,,,,30.000000,0.500000,TAD,80.000000,4.000000,PDT
227150,227150,0.500000,MiniPAT,00:00:00 28-Feb-2023,,,,30.000000,0.500000,TAD,82.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 01-Mar-2023,,,,36.500000,0.250000,MixLayer,68.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 02-Mar-2023,,,,20.000000,0.500000,TAD,87.500000,12.500000,TAD
227150,227150,0.500000,MiniPAT,00:00:00 03-Mar-2023,,,,32.000000,4.000000,PDT,70.500000,0.250000,MixLayer
227150,227150,0.500000,MiniPAT,00:00:00 04-Mar-2023,,,,30.000000,0.500000,TAD,72.000000,4.000000,PDT
