"","Date","Ptt","Latitude","Longitude","day.at.liberty","month","DistToShelf","DistToShore"
"1",2022-12-06,227150,-31.77816,159.375,1,"Dec",1.83549101563386,34.0730879652327
"2",2022-12-07,227150,-31.6583333333333,159.375,2,"Dec",9.50765896646134,27.2160999947242
"3",2022-12-08,227150,-31.625,159.3875,3,"Dec",13.1643486291806,27.3431739692994
"4",2022-12-09,227150,-31.5875,159.43125,4,"Dec",18.9700394956511,30.8820694456593
"5",2022-12-10,227150,-31.5375,159.49375,5,"Dec",26.2787209608324,36.7106050350831
"6",2022-12-11,227150,-31.5,159.55,6,"Dec",32.6024803451834,42.4734534781509
"7",2022-12-12,227150,-31.45,159.633333333333,7,"Dec",41.9510613572738,51.3223695520917
"8",2022-12-13,227150,-31.425,159.65,8,"Dec",44.3457901238552,53.5629302572263
"9",2022-12-14,227150,-31.3875,159.675,9,"Dec",48.0742319039571,57.0952640981632
"10",2022-12-15,227150,-31.40625,159.625,10,"Dec",42.8845009825347,51.9207868846606
"11",2022-12-16,227150,-31.43125,159.56875,11,"Dec",36.8800769460656,45.9704688086395
"12",2022-12-17,227150,-31.39375,159.425,12,"Dec",26.3908098071068,34.9623629761402
"13",2022-12-18,227150,-31.36875,159.2875,13,"Dec",16.7527009571163,26.0708621032092
"14",2022-12-19,227150,-31.4125,159.25,14,"Dec",11.173269978593,20.1485418248517
"15",2022-12-20,227150,-31.425,159.25,15,"Dec",10.5779817706787,19.2113510018412
"16",2022-12-21,227150,-31.44375,159.23125,16,"Dec",7.95515370186966,16.4998243944637
"17",2022-12-22,227150,-31.45,159.2125,17,"Dec",6.07233223171191,14.710366388165
"18",2022-12-23,227150,-31.45,159.2,18,"Dec",5.1012827169837,13.8336987247347
"19",2022-12-24,227150,-31.43125,159.175,19,"Dec",4.06106049713083,13.5027962762846
"20",2022-12-25,227150,-31.425,159.175,20,"Dec",4.52820681654275,14.0047913834146
"21",2022-12-26,227150,-31.4,159.175,21,"Dec",6.40630456646875,16.1546627887371
"22",2022-12-27,227150,-31.38125,159.18125,22,"Dec",8.18901011214908,18.2019216519386
"23",2022-12-28,227150,-31.34375,159.2,23,"Dec",11.7302000452283,22.6670056514197
"24",2022-12-29,227150,-31.3125,159.20625,24,"Dec",14.1897470770355,25.964265256008
"25",2022-12-30,227150,-31.2625,159.2375,25,"Dec",20.1676648627743,32.2559172243071
"26",2022-12-31,227150,-31.19375,159.2625,26,"Dec",27.5687939579312,40.1200939467515
"27",2023-01-01,227150,-31.1375,159.29375,27,"Jan",34.3877031072803,47.0312222719192
"28",2023-01-02,227150,-31.08125,159.3375,28,"Jan",41.8918518898727,54.478344394557
"29",2023-01-03,227150,-31.00625,159.38125,29,"Jan",51.1368266602625,63.7831580582295
"30",2023-01-04,227150,-30.9,159.4375,30,"Jan",63.9838306288449,76.7203304222337
"31",2023-01-05,227150,-30.74375,159.53125,31,"Jan",83.4633484568557,96.2265633245575
"32",2023-01-06,227150,-30.59375,159.6,32,"Jan",87.0509485850454,88.4563615042399
"33",2023-01-07,227150,-30.71875,159.50625,33,"Jan",84.7342622356132,95.7820455819726
"34",2023-01-08,227150,-30.925,159.51875,34,"Jan",66.0893217317387,78.1536665656338
"35",2023-01-09,227150,-31.06875,159.5375,35,"Jan",55.7488623845633,66.4662150752984
"36",2023-01-10,227150,-31.1625,159.56875,36,"Jan",51.9364871075922,61.2510450288524
"37",2023-01-11,227150,-31.225,159.6,37,"Jan",50.4020593961663,59.0908458055617
"38",2023-01-12,227150,-31.3083333333333,159.575,38,"Jan",43.5198343396962,52.0353758707802
"39",2023-01-13,227150,-31.325,159.5375,39,"Jan",39.5250134648344,48.0197848630906
"40",2023-01-14,227150,-31.34375,159.4875,40,"Jan",34.4300703190337,42.8629828741264
"41",2023-01-15,227150,-31.4,159.5375,41,"Jan",35.5463752917677,44.4023397150292
"42",2023-01-16,227150,-31.4625,159.5875,42,"Jan",37.3817165991663,46.7637843857982
"43",2023-01-17,227150,-31.5375,159.6125,43,"Jan",35.328460710038,47.9707892798128
"44",2023-01-18,227150,-31.5875,159.6375,44,"Jan",34.1989407839149,50.3909588918519
"45",2023-01-19,227150,-31.625,159.68125,45,"Jan",35.4607222868282,54.8745192241791
"46",2023-01-20,227150,-31.6875,159.6125,46,"Jan",26.4477269534783,49.7076284895413
"47",2023-01-21,227150,-31.725,159.5,47,"Jan",15.0419505280882,40.9816543231942
"48",2023-01-22,227150,-31.725,159.383333333333,48,"Jan",5.78744074471056,31.208588469786
"49",2023-01-23,227150,-31.75,159.3375,49,"Jan",0.773636438950815,29.3527621157046
"50",2023-01-24,227150,-31.7625,159.3,50,"Jan",3.03727744600212,27.568025209964
"51",2023-01-25,227150,-31.7875,159.3125,51,"Jan",3.50749944855932,30.3724393891057
"52",2023-01-26,227150,-31.8375,159.36875,52,"Jan",2.82177936329481,38.0603180517959
"53",2023-01-27,227150,-31.8875,159.4375,53,"Jan",11.3458468121967,46.5714181360154
"54",2023-01-28,227150,-31.9125,159.5,54,"Jan",17.7722905264246,52.7516537842077
