Profile n,Date,Time (UTC),Austral Season,MLD recorded [m]
1,2014-01-20,22:26,Summer,9.0
2,2011-02-28,22:21,Summer,18.0
3,2018-02-27,23:28,Summer,30.0
4,2023-03-14,20:53,Autumn,16.0
5,2019-01-21,22:02,Summer,8.0
6,2022-06-28,23:24,Winter,50.0
7,2018-02-27,23:28,Summer,29.0
8,2014-06-12,23:42,Winter,31.0
9,2015-08-19,00:11,Winter,34.0
10,2016-09-26,12:15,Spring,20.0
