"Date","Ptt","Latitude","Longitude","day.at.liberty","month"
"2019-02-26",47622,-20.575,-160.25,1,"Feb"
"2019-02-27",47622,-20.55625,-160.2875,2,"Feb"
"2019-02-28",47622,-20.395,-160.3,3,"Feb"
"2019-03-01",47622,-20.015,-160.535,4,"Mar"
"2019-03-02",47622,-19.535,-160.675,5,"Mar"
"2019-03-03",47622,-19.05,-160.995,6,"Mar"
"2019-03-04",47622,-18.55,-160.845,7,"Mar"
"2019-03-05",47622,-18.1,-160.71,8,"Mar"
"2019-03-06",47622,-17.8291666666667,-160.416666666667,9,"Mar"
"2019-03-07",47622,-17.4375,-160.4375,10,"Mar"
"2019-03-08",47622,-16.9416666666667,-160.441666666667,11,"Mar"
"2019-03-09",47622,-16.54375,-159.74375,12,"Mar"
"2019-03-10",47622,-16.1083333333333,-158.808333333333,13,"Mar"
"2019-03-11",47622,-15.68125,-158.9125,14,"Mar"
"2019-03-12",47622,-15.3833333333333,-158.9,15,"Mar"
"2019-03-13",47622,-14.875,-158.7,16,"Mar"
"2019-03-14",47622,-14.565,-158.47,17,"Mar"
"2019-03-15",47622,-13.7666666666667,-157.720833333333,18,"Mar"
"2019-03-16",47622,-13.48125,-157.43125,19,"Mar"
"2019-03-17",47622,-13.3125,-157.233333333333,20,"Mar"
"2019-03-18",47622,-13.2,-157.11875,21,"Mar"
"2019-03-19",47622,-13.1208333333333,-157.05,22,"Mar"
"2019-03-20",47622,-12.35625,-157.475,23,"Mar"
"2019-03-21",47622,-11.81,-158.225,24,"Mar"
"2019-03-22",47622,-11.105,-158.21,25,"Mar"
"2019-03-23",47622,-10.6333333333333,-157.891666666667,26,"Mar"
"2019-03-24",47622,-10.125,-157.31,27,"Mar"
"2019-03-25",47622,-9.66875,-157.15,28,"Mar"
"2019-03-26",47622,-9.2125,-157.175,29,"Mar"
"2019-03-27",47622,-8.72916666666667,-157.129166666667,30,"Mar"
"2019-03-28",47622,-8.46875,-157.04375,31,"Mar"
"2019-03-29",47622,-7.825,-156.88,32,"Mar"
"2019-03-30",47622,-7.3875,-156.8625,33,"Mar"
