Date,Ptt,Latitude,Longitude,day.at.liberty,month,DistfromStart,bathy_depth,DistToShelf,DistToShore,MinTemp,MaxTemp,MinDepth,MaxDepth,MeanTempPDT,MeanDepthPDT,DistTravelled
2022-12-06,227150,-31.77816,159.34932,1,Dec,0,-86.1275024414062,0.172564737212895,32.1900281698875,19,20.2,11,74,19.880000000000003,18.59090909090909,NA
2022-12-07,227150,-31.6583333333333,159.375,2,Dec,13.5437124144715,-1671.56494140625,9.50765896646134,27.2160999947242,18.9,20.8,2,77,19.766666666666666,17.884615384615383,13.507707632441962
2022-12-08,227150,-31.625,159.3875,3,Dec,17.4345172039518,-1792.43505859375,13.1643486291806,27.3431739692994,18.9,20.3,12,68,19.38,20.772727272727273,3.881561615140417
2022-12-09,227150,-31.5875,159.43125,4,Dec,23.312721758153,-1843.43505859375,18.9700394956511,30.8820694456593,18.7,20.6,27,69,19.675,21.38888888888889,5.875805849480843
2022-12-10,227150,-31.5375,159.49375,5,Dec,31.4353007034435,-1650.31005859375,26.2787209608324,36.7106050350831,18.3,20.9,32,70,19.625,24.055555555555557,8.120601934603668
2022-12-11,227150,-31.5,159.55,6,Dec,38.2041273040542,-1704.31005859375,32.6024803451834,42.4734534781509,18.6,20.8,28,79,19.599999999999998,24.944444444444443,6.77009080753441
2022-12-12,227150,-31.45,159.633333333333,7,Dec,47.8667530107037,-1738.31494140625,41.9510613572738,51.3223695520917,19,20.8,30,76,19.775,24.944444444444443,9.666677331459672
2022-12-13,227150,-31.425,159.65,8,Dec,51.0648647609167,-1712.81494140625,44.3457901238552,53.5629302572263,19.4,20.9,32,73,20.25,24.055555555555557,3.192799805583973
2022-12-14,227150,-31.3875,159.675,9,Dec,55.8624232191949,-1627.56494140625,48.0742319039571,57.0952640981632,19.5,21,31,70,20.224999999999998,24.055555555555557,4.789573243386366
2022-12-15,227150,-31.40625,159.625,10,Dec,61.0458914762716,-1725.125,42.8845009825347,51.9207868846606,19.4,20.9,36,76,20,27.61111111111111,5.189897898759647
2022-12-16,227150,-31.43125,159.56875,11,Dec,67.0640473493339,-1731.06494140625,36.8800769460656,45.9704688086395,18.7,20.8,37,74,19.96666666666667,24.642857142857142,6.024112995898989
2022-12-17,227150,-31.39375,159.425,12,Dec,81.3286784129515,-1847,26.3908098071068,34.9623629761402,18.8,20.9,34,71,19.950000000000003,24.055555555555557,14.287660252769175
2022-12-18,227150,-31.36875,159.2875,13,Dec,94.6742138918079,-1975.68994140625,16.7527009571163,26.0708621032092,19.2,20.8,32,69,20.025000000000002,24.055555555555557,13.369798912754469
2022-12-19,227150,-31.4125,159.25,14,Dec,100.702157425465,-1919.06005859375,11.173269978593,20.1485418248517,19.1,21.8,14,70,20.6,21.5,6.020974569628029
2022-12-20,227150,-31.425,159.25,15,Dec,102.092094008522,-1915.61999511719,10.5779817706787,19.2113510018412,19.3,21.6,6,72,20.82,18.59090909090909,1.385958617241454
