lat,lon,fishing_hours,PTT
-32.3,153.1,4.030833333333334,227151
-32.4,153,1.0125,227151
-33,151.8,26.541474999999995,227151
-33.1,151.8,7.0363444444444445,227151
-33.1,151.7,70.60813055555556,227151
-34.1,151.1,4.2844444444444445,227151
-32.8,152.9,5.705000000000001,227151
-33.2,152.7,4.013888888888889,227151
-33.4,151.5,1.5215944444444445,227151
-33.3,151.6,3.234536111111111,227151
-34.1,151.6,1.0858333333333334,227151
-34.2,151.6,1.350277777777778,227151
-34.2,151.8,4.781944444444444,227151
-33.7,152.1,8.569636111111112,227151
-34.1,152,2.1244444444444444,227151
-33.8,151.3,89.18750555555553,227151
-32.9,152.8,4.981944444444446,227151
-33.1,152.8,2.1966666666666668,227151
-33.2,152.5,1.5391666666666666,227151
-33.3,152.5,1.9969444444444449,227151
-33.3,152.4,2.010555555555555,227151
-33.6,152.5,0.4616666666666666,227151
-33.2,152.6,3.0053834200000007,227151
-33.3,152.6,2.633055555555556,227151
-33.8,151.2,84.37903333333333,227151
-34.7,151.8,1.225,227151
-35,151.6,24.38383888888889,227151
-35,151.7,15.819722222222222,227151
-35.4,151.5,8.767074999999998,227151
-34.2,151.5,0.39189166666666664,227151
-34.1,151.8,24.59916666666667,227151
-34.3,151.6,5.617241666666667,227151
-34.5,151.6,11.100861111111112,227151
-34.6,151.7,8.594166666666668,227151
-34.2,152,0.4494444444444445,227151
-35.7,151,18.175555555555555,227151
-35.8,151,58.26079166666667,227151
-36,150.7,28.969633333333334,227151
-33.6,152.1,5.3536472222222224,227151
-33.9,152.1,8.275555555555556,227151
-31.9,152.7,38.52447777777778,227151
-32,152.8,8.071841666666666,227151
-35.3,150.8,2.078333333333334,227151
-35.6,150.6,2.4099999999999997,227151
-33.4,151.6,202.79599166666665,227151
-33.3,152.2,3.377222222222222,227151
-33.4,152.6,1.0022222222222223,227151
-33.5,152.3,2.0661111111111112,227151
-33.3,152.9,1.3008333333333335,227151
-36.3,150.4,4.631944444444445,227151
-36.4,150.3,1.559722222222222,227151
-36.4,150.4,2.046666666666667,227151
-36.2,150.5,12.098611111111111,227151
-36.2,150.6,16.976666666666667,227151
-35.1,151.5,15.756952777777776,227151
-35.2,151.4,7.250555555555555,227151
-35.4,151.3,10.77527777777778,227151
-35.5,151.2,8.143611111111111,227151
-35.7,151.2,0.7916666666666666,227151
-35.4,150.4,0.10083333333333332,227151
-35,151.9,5.273888888888889,227151
-35,151.8,3.3722222222222222,227151
-35.2,151.6,3.301111111111111,227151
-35.4,151.7,0.7586111111111111,227151
-35.9,150.8,23.506841666666663,227151
-36,150.6,22.725833333333338,227151
-36.1,150.5,15.27333333333333,227151
-36.2,150.7,3.351388888888889,227151
-34.7,152,7.909166666666668,227151
-34.6,150.9,52.16032222222221,227151
-34.7,150.9,108.65813888888889,227151
-35.1,150.7,146.20222222222222,227151
-35.1,150.8,20.059166666666663,227151
-35.2,151,5.864444444444445,227151
-31.9,153.4,4.126111111111111,227151
-32.2,153.2,15.610277777777778,227151
-32.2,153.3,3.886369444444444,227151
-32.3,153,0.3419444444444444,227151
-32.3,153.2,6.414688888888889,227151
-32.7,152.4,1.3922222222222222,227151
-32.7,153.2,1.9908333333333332,227151
-32.7,153,10.140833333333331,227151
-32.9,152.9,1.0355555555555551,227151
-32.9,153,14.780277777777776,227151
-32,153.4,4.5536111111111115,227151
-32.4,153.3,11.328847222222224,227151
-32.4,153.4,0.9761111111111112,227151
-34.8,150.9,4.377930555555556,227151
-32.7,152.8,4.907293585555555,227151
-34.8,151.7,11.55277777777778,227151
-35.1,151.4,8.828611111111112,227151
-35.3,151.4,14.3975,227151
-35.5,150.8,3.0741666666666667,227151
-33.9,151.8,2.817727777777778,227151
-33.9,151.7,4.57475,227151
-32.8,151.9,2.049444444444444,227151
-33.7,151.6,5.226388888888889,227151
-34.7,151.7,11.310044444444443,227151
-35.4,151,3.4330555555555553,227151
-35.4,151.2,13.010694444444445,227151
-34.9,151.6,13.759166666666667,227151
-35.3,151.2,55.99726510722224,227151
-35.4,151.4,12.551666666666668,227151
-35.5,150.9,4.64861111111111,227151
-35.6,150.9,7.875,227151
-35.6,151,7.34306388888889,227151
-35.6,151.1,3.0569444444444445,227151
-35.8,150.9,23.913888888888888,227151
-35.9,150.9,15.149269444444442,227151
-35.8,151.1,10.439391666666666,227151
-35.5,151.3,6.740555555555555,227151
-34.6,152,8.475277777777778,227151
-34.8,152,0.24888888888888888,227151
-35.4,150.5,1.978888888888889,227151
-35,151.5,15.185555555555554,227151
-34.9,151.8,3.6166666666666663,227151
-35.7,151.4,3.175277777777777,227151
-35.5,151.7,3.948055555555556,227151
-35.7,151.6,1.533333333333333,227151
-35.7,151.7,0.5983333333333333,227151
-36.3,150.5,13.961944444444448,227151
-34.7,151.6,10.208934077222224,227151
-35.3,151.6,6.845847222222224,227151
-35.7,150.8,4.727777777777778,227151
