Index,DeployID,Ptt,DepthSensor,Source,Instr,Day,Time,Time Offset,Count,InitLocQ,InitTime,InitLat,InitLon,Deepest,SSTTime,SSTDepth,SSTTemp,Type,Delta,MinDepth,MaxDepth,AttenShallow,AttenDeep,TravelMetric,FoundPrevious,K,LL0,Depth0,LL1,Depth1,LL2,Depth2,LL3,Depth3,LL4,Depth4,LL5,Depth5,LL6,Depth6,LL7,Depth7,LL8,Depth8,LL9,Depth9,LL10,Depth10,LL11,Depth11
20,"47618",47618,0.500000,Transmission,MiniPAT,13-Feb-2019,05:12:30,,9,,,,,80,15:00:00 13-Feb-2019,2,28.0,Dusk,450,16,48,,,0,,48816,156,,147,,133,,119,,101,,88,,73,,63,,57,
21,"47618",47618,0.500000,Transmission,MiniPAT,13-Feb-2019,15:56:15,,9,,,,,160,15:00:00 13-Feb-2019,2,28.0,Dawn,450,16,48,,,0,,9363,78,,95,,115,,131,,142,,150,,156,,161,,166,
22,"47618",47618,0.500000,Transmission,MiniPAT,14-Feb-2019,04:41:15,1,8,,,,,160,09:00:00 14-Feb-2019,0,28.1,Dusk,750,16,144,,,0,,42444,166,,159,,154,,144,,128,,100,,73,,61,,58,
23,"47618",47618,0.500000,Transmission,MiniPAT,14-Feb-2019,16:00:00,1,8,,,,,456,09:00:00 14-Feb-2019,0,28.1,Dawn,600,16,48,,,0,,27998,79,,101,,122,,138,,153,,160,,166,,170,,174,
24,"47618",47618,0.500000,Transmission,MiniPAT,15-Feb-2019,05:03:45,1,8,,,,,456,09:00:00 15-Feb-2019,1,28.1,Dusk,450,16,48,,,0,,60018,157,,153,,144,,131,,116,,101,,83,,69,,61,
25,"47618",47618,0.500000,Transmission,MiniPAT,15-Feb-2019,16:05:00,1,8,,,,,232,09:00:00 15-Feb-2019,1,28.1,Dawn,450,16,48,,,0,,30495,95,,115,,131,,145,,153,,158,,158,,162,,165,
26,"47618",47618,0.500000,Transmission,MiniPAT,16-Feb-2019,04:35:00,1,7,,,,,232,12:00:00 16-Feb-2019,0,28.0,Dusk,600,16,48,,,0,,58357,172,,165,,161,,156,,148,,135,,116,,93,,74,
27,"47618",47618,0.500000,Transmission,MiniPAT,16-Feb-2019,15:58:45,1,7,,,,,224,12:00:00 16-Feb-2019,0,28.0,Dawn,600,16,80,,,0,,53510,85,,111,,130,,150,,160,,165,,170,,174,,178,
28,"47618",47618,0.500000,Transmission,MiniPAT,17-Feb-2019,05:03:45,1,5,,,,,224,17:00:00 17-Feb-2019,1,28.2,Dusk,450,16,48,,,0,,19886,156,,153,,142,,130,,115,,99,,83,,71,,67,
29,"47618",47618,0.500000,Transmission,MiniPAT,17-Feb-2019,15:56:15,1,5,,,,,232,17:00:00 17-Feb-2019,1,28.2,Dawn,300,16,48,,,0,,21838,77,,89,,100,,112,,124,,133,,142,,150,,156,
30,"47618",47618,0.500000,Transmission,MiniPAT,18-Feb-2019,05:01:15,1,4,,,,,232,09:00:00 18-Feb-2019,4,28.4,Dusk,450,16,80,,,0,,28417,155,,151,,142,,131,,116,,98,,84,,74,,66,
31,"47618",47618,0.500000,Transmission,MiniPAT,18-Feb-2019,15:56:15,1,4,,,,,264,09:00:00 18-Feb-2019,4,28.4,Dawn,300,16,48,,,0,,63406,76,,88,,99,,111,,123,,133,,142,,149,,153,
32,"47618",47618,0.500000,Transmission,MiniPAT,19-Feb-2019,05:11:15,1,5,,,,,264,10:00:00 19-Feb-2019,1,28.4,Dusk,300,16,48,,,0,,57122,151,,145,,136,,126,,115,,103,,91,,79,,70,
33,"47618",47618,0.500000,Transmission,MiniPAT,19-Feb-2019,16:01:15,1,5,,,,,392,10:00:00 19-Feb-2019,1,28.4,Dawn,300,16,48,,,0,,29610,88,,101,,112,,125,,136,,145,,151,,156,,160,
34,"47618",47618,0.500000,Transmission,MiniPAT,20-Feb-2019,05:08:45,1,7,,,,,392,12:00:00 20-Feb-2019,4,28.5,Dusk,300,16,48,,,0,,56258,149,,145,,138,,129,,117,,106,,94,,82,,71,
