DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,MinDepth,MinAccuracy,MinSource,MaxDepth,MaxAccuracy,MaxSource
47618,47618,0.500000,MiniPAT,00:00:00 04-Apr-2019,,,,0.000000,0.500000,TAD,240.000000,4.000000,PDT
47618,47618,0.500000,MiniPAT,00:00:00 05-Apr-2019,,,,0.000000,0.500000,TAD,112.000000,4.000000,PDT
47618,47618,0.500000,MiniPAT,00:00:00 06-Apr-2019,,,,0.000000,0.500000,TAD,208.000000,4.000000,PDT
47618,47618,0.500000,MiniPAT,00:00:00 07-Apr-2019,,,,0.000000,0.500000,TAD,152.000000,4.000000,PDT
47618,47618,0.500000,MiniPAT,00:00:00 08-Apr-2019,,,,0.000000,0.500000,TAD,88.000000,4.000000,PDT
47618,47618,0.500000,MiniPAT,00:00:00 09-Apr-2019,,,,0.000000,0.500000,TAD,200.000000,4.000000,PDT
47618,47618,0.500000,MiniPAT,00:00:00 10-Apr-2019,,,,0.000000,0.500000,TAD,136.000000,4.000000,PDT
47618,47618,0.500000,MiniPAT,00:00:00 11-Apr-2019,,,,0.000000,0.500000,TAD,72.000000,4.000000,PDT
47618,47618,0.500000,MiniPAT,00:00:00 12-Apr-2019,,,,0.000000,0.500000,TAD,112.000000,4.000000,PDT
47618,47618,0.500000,MiniPAT,00:00:00 13-Apr-2019,,,,0.000000,0.500000,TAD,368.000000,4.000000,PDT
47618,47618,0.500000,MiniPAT,00:00:00 14-Apr-2019,,,,0.000000,0.500000,TAD,96.000000,4.000000,PDT
47618,47618,0.500000,MiniPAT,00:00:00 15-Apr-2019,,,,0.000000,0.500000,TAD,96.000000,4.000000,PDT
47618,47618,0.500000,MiniPAT,00:00:00 16-Apr-2019,,,,0.000000,0.500000,TAD,112.000000,4.000000,PDT
47618,47618,0.500000,MiniPAT,00:00:00 17-Apr-2019,,,,0.000000,4.000000,PDT,88.000000,4.000000,PDT
47618,47618,0.500000,MiniPAT,00:00:00 18-Apr-2019,,,,0.000000,0.500000,TAD,112.000000,4.000000,PDT
47618,47618,0.500000,MiniPAT,00:00:00 19-Apr-2019,,,,0.000000,0.500000,TAD,152.000000,4.000000,PDT
47618,47618,0.500000,MiniPAT,00:00:00 20-Apr-2019,,,,0.000000,0.500000,TAD,128.000000,4.000000,PDT
47618,47618,0.500000,MiniPAT,00:00:00 21-Apr-2019,,,,0.000000,0.500000,TAD,128.000000,4.000000,PDT
47618,47618,0.500000,MiniPAT,00:00:00 22-Apr-2019,,,,0.000000,0.500000,TAD,136.000000,4.000000,PDT
47618,47618,0.500000,MiniPAT,00:00:00 23-Apr-2019,,,,0.000000,0.500000,TAD,160.000000,4.000000,PDT
47618,47618,0.500000,MiniPAT,00:00:00 24-Apr-2019,,,,0.000000,0.500000,TAD,168.000000,4.000000,PDT
