source,date,common_name,species,longitude,latitude
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2012-01-06,Common Coral Trout,Plectropomus leopardus,152.471183,-21.999617
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2012-01-07,Common Coral Trout,Plectropomus leopardus,152.668567,-21.99795
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2012-01-08,Common Coral Trout,Plectropomus leopardus,152.659383,-21.985383
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2012-01-09,Spangled Emperor,Lethrinus nebulosus,152.6149,-21.950183
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2012-01-11,Common Coral Trout,Plectropomus leopardus,151.6446,-21.408533
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2012-01-17,Common Coral Trout,Plectropomus leopardus,150.92785,-20.963133
Reef Life Survey: Global reef fish dataset,2012-01-26,Snapper,Chrysophrys auratus,152.16,-32.71
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2012-02-19,Common Coral Trout,Plectropomus leopardus,146.02995,-16.506817
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2012-02-20,Common Coral Trout,Plectropomus leopardus,146.112667,-16.6488
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2012-02-26,Common Coral Trout,Plectropomus leopardus,146.478083,-17.29065
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2012-02-28,Common Coral Trout,Plectropomus leopardus,146.390533,-17.51795
Reef Life Survey: Global reef fish dataset,2012-03-17,Snapper,Chrysophrys auratus,151.27,-33.83
Reef Life Survey: Global reef fish dataset,2012-03-18,Snapper,Chrysophrys auratus,151.28,-33.84
Lizard Island Research Station,2012-03-28,Spangled Emperor,Lethrinus nebulosus,145.452397,-14.695641
Reef Life Survey: Global reef fish dataset,2012-04-03,Common Coral Trout,Plectropomus leopardus,147.7,-18.66
Reef Life Survey: Global reef fish dataset,2012-04-07,Common Coral Trout,Plectropomus leopardus,147.45,-18.41
Reef Life Survey: Global reef fish dataset,2012-04-09,Snapper,Chrysophrys auratus,152.16,-32.71
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2012-04-16,Common Coral Trout,Plectropomus leopardus,147.0013,-18.460533
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2012-04-18,Common Coral Trout,Plectropomus leopardus,146.87865,-18.471817
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2012-04-22,Common Coral Trout,Plectropomus leopardus,147.300283,-18.6242
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2012-04-27,Common Coral Trout,Plectropomus leopardus,147.7218,-18.7318
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2012-08-25,Common Coral Trout,Plectropomus leopardus,151.982417,-23.322967
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2012-08-27,Spangled Emperor,Lethrinus nebulosus,152.482583,-21.979133
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2012-09-06,Common Coral Trout,Plectropomus leopardus,152.1958,-22.023733
Reef Life Survey: Global reef fish dataset,2012-10-27,Spangled Emperor,Lethrinus nebulosus,151.25,-33.84
Lizard Island Research Station,2012-11-30,Common Coral Trout,Plectropomus leopardus,145.368004,-14.754742
Reef Life Survey: Global reef fish dataset,2012-12-09,Snapper,Chrysophrys auratus,152.17,-32.75
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2013-01-05,Common Coral Trout,Plectropomus leopardus,145.907533,-16.207517
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2013-01-07,Common Coral Trout,Plectropomus leopardus,145.65245,-16.04495
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2013-01-09,Common Coral Trout,Plectropomus leopardus,145.87015,-16.041817000000002
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2013-01-12,Common Coral Trout,Plectropomus leopardus,146.022667,-16.49935
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2013-01-15,Common Coral Trout,Plectropomus leopardus,145.98045,-16.775317
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2013-01-16,Common Coral Trout,Plectropomus leopardus,146.200017,-16.801417
iNaturalist Australia,2013-03-31,Snapper,Chrysophrys auratus,145.083125,-38.012886
Reef Life Survey: Global reef fish dataset,2013-04-07,Snapper,Chrysophrys auratus,150.8,-35.08
Reef Life Survey: Global reef fish dataset,2013-04-10,Snapper,Chrysophrys auratus,151.29,-33.82
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2013-04-19,Spangled Emperor,Lethrinus nebulosus,149.69205,-20.0376
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2013-04-22,Common Coral Trout,Plectropomus leopardus,148.89940000000001,-20.056983
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2013-04-23,Common Coral Trout,Plectropomus leopardus,148.903933,-20.062033
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2013-05-22,Common Coral Trout,Plectropomus leopardus,147.7217,-18.652117
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2013-05-23,Common Coral Trout,Plectropomus leopardus,147.4519,-18.399867
Reef Life Survey: Global reef fish dataset,2013-06-27,Spangled Emperor,Lethrinus nebulosus,147.63,-19.3
iNaturalist Australia,2013-07-07,Spangled Emperor,Lethrinus nebulosus,151.295952,-33.799869
Reef Life Survey: Global reef fish dataset,2013-07-09,Spangled Emperor,Lethrinus nebulosus,147.86,-16.47
Reef Life Survey: Global reef fish dataset,2013-07-28,Common Coral Trout,Plectropomus leopardus,143.37,-12.4
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2013-09-07,Common Coral Trout,Plectropomus leopardus,152.471183,-21.999617
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2013-09-09,Common Coral Trout,Plectropomus leopardus,152.419783,-23.8835
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2013-09-12,Common Coral Trout,Plectropomus leopardus,152.302933,-23.796683
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2013-09-16,Common Coral Trout,Plectropomus leopardus,151.947133,-23.257383
iNaturalist Australia,2013-09-18,Snapper,Chrysophrys auratus,153.146496,-26.61746
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2013-11-24,Common Coral Trout,Plectropomus leopardus,152.613,-21.954433
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2013-12-05,Common Coral Trout,Plectropomus leopardus,151.6446,-21.408533
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2013-12-10,Common Coral Trout,Plectropomus leopardus,150.927033,-20.959883
iNaturalist Australia,2014-03-01,Snapper,Chrysophrys auratus,151.448943,-33.4614
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2014-03-12,Common Coral Trout,Plectropomus leopardus,146.200017,-16.801417
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2014-03-17,Common Coral Trout,Plectropomus leopardus,146.022667,-16.49935
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2014-04-18,Common Coral Trout,Plectropomus leopardus,150.558167,-20.920117
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2014-04-19,Common Coral Trout,Plectropomus leopardus,150.53855,-20.991467
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2014-04-19,Common Coral Trout,Plectropomus leopardus,150.5599,-20.92185
"Hunter CMR - Cross shelf comparison BRUVS data, New South Wales, Australia (2014-2018)",2014-04-19,Snapper,Chrysophrys auratus,152.60909,-32.45249
"Hunter CMR - Cross shelf comparison BRUVS data, New South Wales, Australia (2014-2018)",2014-04-19,Snapper,Chrysophrys auratus,152.608,-32.45562
"Hunter CMR - Cross shelf comparison BRUVS data, New South Wales, Australia (2014-2018)",2014-04-19,Snapper,Chrysophrys auratus,152.608,-32.45562
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2014-04-20,Common Coral Trout,Plectropomus leopardus,150.535817,-20.993633
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2014-05-01,Common Coral Trout,Plectropomus leopardus,147.432667,-18.621567
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2014-05-02,Common Coral Trout,Plectropomus leopardus,147.7217,-18.652117
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2014-05-05,Common Coral Trout,Plectropomus leopardus,147.580383,-18.571783
Reef Life Survey: Global reef fish dataset,2014-05-23,Snapper,Chrysophrys auratus,152.32,-32.63
Reef Life Survey: Global reef fish dataset,2014-05-24,Snapper,Chrysophrys auratus,151.3,-33.8
"Australian Institute of Marine Science (AIMS) - Baited Remote Underwater Video Station (BRUVS), Australia (1999 to present)",2014-06-26,Common Coral Trout,Plectropomus leopardus,151.93864,-23.43465
"Australian Institute of Marine Science (AIMS) - Baited Remote Underwater Video Station (BRUVS), Australia (1999 to present)",2014-06-26,Common Coral Trout,Plectropomus leopardus,151.93226,-23.43406
"Australian Institute of Marine Science (AIMS) - Baited Remote Underwater Video Station (BRUVS), Australia (1999 to present)",2014-06-26,Common Coral Trout,Plectropomus leopardus,151.93226,-23.43406
"Australian Institute of Marine Science (AIMS) - Baited Remote Underwater Video Station (BRUVS), Australia (1999 to present)",2014-06-26,Spangled Emperor,Lethrinus nebulosus,151.93816,-23.43398
"Australian Institute of Marine Science (AIMS) - Baited Remote Underwater Video Station (BRUVS), Australia (1999 to present)",2014-06-27,Common Coral Trout,Plectropomus leopardus,151.93666,-23.43518
"Australian Institute of Marine Science (AIMS) - Baited Remote Underwater Video Station (BRUVS), Australia (1999 to present)",2014-06-27,Spangled Emperor,Lethrinus nebulosus,151.93336,-23.43459
"Australian Institute of Marine Science (AIMS) - Baited Remote Underwater Video Station (BRUVS), Australia (1999 to present)",2014-06-27,Spangled Emperor,Lethrinus nebulosus,151.93392,-23.43344
"Australian Institute of Marine Science (AIMS) - Baited Remote Underwater Video Station (BRUVS), Australia (1999 to present)",2014-06-28,Spangled Emperor,Lethrinus nebulosus,151.93816,-23.43398
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2014-08-17,Common Coral Trout,Plectropomus leopardus,152.18695,-21.862583
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2014-08-24,Common Coral Trout,Plectropomus leopardus,152.193467,-22.027367
iNaturalist Australia,2014-10-04,Snapper,Chrysophrys auratus,152.157806,-32.709078
iNaturalist Australia,2014-10-31,Common Coral Trout,Plectropomus leopardus,152.761373,-24.117048
Reef Life Survey: Global reef fish dataset,2014-11-22,Snapper,Chrysophrys auratus,152.14,-32.72
Reef Life Survey: Global reef fish dataset,2014-12-02,Snapper,Chrysophrys auratus,150.75,-35.18
Reef Life Survey: Global reef fish dataset,2014-12-02,Snapper,Chrysophrys auratus,150.75,-35.18
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2014-12-06,Common Coral Trout,Plectropomus leopardus,145.469233,-14.691467
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2014-12-06,Common Coral Trout,Plectropomus leopardus,145.462967,-14.6977
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2014-12-08,Common Coral Trout,Plectropomus leopardus,145.3514,-14.79255
Australian Museum provider for OZCAM,2015-01-10,Common Coral Trout,Plectropomus leopardus,151.254,-33.99641
Lizard Island Research Station,2015-01-12,Common Coral Trout,Plectropomus leopardus,145.462229,-14.650447
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2015-01-17,Common Coral Trout,Plectropomus leopardus,149.918067,-19.6641
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2015-01-19,Common Coral Trout,Plectropomus leopardus,148.8769,-20.079667
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2015-01-24,Common Coral Trout,Plectropomus leopardus,152.620133,-22.027667
"AIMS, Long-Term Fish Visual Census, Great Barrier Reef, Northeast Australia, 1992-2015",2015-01-24,Common Coral Trout,Plectropomus leopardus,152.619233,-22.022867
iNaturalist Australia,2015-02-20,Snapper,Chrysophrys auratus,144.984692,-37.924964
iNaturalist Australia,2015-02-26,Snapper,Chrysophrys auratus,144.984123,-37.924818
