"Date","Ptt","Latitude","Longitude","day.at.liberty","month"
"2022-12-06",227150,-31.77816,159.34932,1,"Dec"
"2022-12-07",227150,-31.6583333333333,159.375,2,"Dec"
"2022-12-08",227150,-31.625,159.3875,3,"Dec"
"2022-12-09",227150,-31.5875,159.43125,4,"Dec"
"2022-12-10",227150,-31.5375,159.49375,5,"Dec"
"2022-12-11",227150,-31.5,159.55,6,"Dec"
"2022-12-12",227150,-31.45,159.633333333333,7,"Dec"
"2022-12-13",227150,-31.425,159.65,8,"Dec"
"2022-12-14",227150,-31.3875,159.675,9,"Dec"
"2022-12-15",227150,-31.40625,159.625,10,"Dec"
"2022-12-16",227150,-31.43125,159.56875,11,"Dec"
"2022-12-17",227150,-31.39375,159.425,12,"Dec"
"2022-12-18",227150,-31.36875,159.2875,13,"Dec"
"2022-12-19",227150,-31.4125,159.25,14,"Dec"
"2022-12-20",227150,-31.425,159.25,15,"Dec"
"2022-12-21",227150,-31.44375,159.23125,16,"Dec"
"2022-12-22",227150,-31.45,159.2125,17,"Dec"
"2022-12-23",227150,-31.45,159.2,18,"Dec"
"2022-12-24",227150,-31.43125,159.175,19,"Dec"
"2022-12-25",227150,-31.425,159.175,20,"Dec"
"2022-12-26",227150,-31.4,159.175,21,"Dec"
"2022-12-27",227150,-31.38125,159.18125,22,"Dec"
"2022-12-28",227150,-31.34375,159.2,23,"Dec"
"2022-12-29",227150,-31.3125,159.20625,24,"Dec"
"2022-12-30",227150,-31.2625,159.2375,25,"Dec"
"2022-12-31",227150,-31.19375,159.2625,26,"Dec"
"2023-01-01",227150,-31.1375,159.29375,27,"Jan"
"2023-01-02",227150,-31.08125,159.3375,28,"Jan"
"2023-01-03",227150,-31.00625,159.38125,29,"Jan"
"2023-01-04",227150,-30.9,159.4375,30,"Jan"
"2023-01-05",227150,-30.74375,159.53125,31,"Jan"
"2023-01-06",227150,-30.59375,159.6,32,"Jan"
"2023-01-07",227150,-30.71875,159.50625,33,"Jan"
"2023-01-08",227150,-30.925,159.51875,34,"Jan"
"2023-01-09",227150,-31.06875,159.5375,35,"Jan"
"2023-01-10",227150,-31.1625,159.56875,36,"Jan"
"2023-01-11",227150,-31.225,159.6,37,"Jan"
"2023-01-12",227150,-31.3083333333333,159.575,38,"Jan"
"2023-01-13",227150,-31.325,159.5375,39,"Jan"
"2023-01-14",227150,-31.34375,159.4875,40,"Jan"
"2023-01-15",227150,-31.4,159.5375,41,"Jan"
"2023-01-16",227150,-31.4625,159.5875,42,"Jan"
"2023-01-17",227150,-31.5375,159.6125,43,"Jan"
