Ptt,Instr,Date,MinTemp,MaxTemp,MinDepth,MaxDepth,MaxDeltaTilt,AvgMinMaxTilt,DeltaLight
227150,MiniPAT,12/06/2022,19.0,20.2,11.000000,74.000000,,,170.000000
227150,MiniPAT,12/07/2022,18.9,20.8,2.000000,77.000000,,,159.000000
227150,MiniPAT,12/08/2022,18.9,20.3,12.000000,68.000000,,,151.000000
227150,MiniPAT,12/09/2022,18.7,20.6,27.000000,69.000000,,,158.000000
227150,MiniPAT,12/10/2022,18.3,20.9,32.000000,70.000000,,,156.000000
227150,MiniPAT,12/11/2022,18.6,20.8,28.000000,79.000000,,,157.000000
227150,MiniPAT,12/12/2022,19.0,20.8,30.000000,76.000000,,,158.000000
227150,MiniPAT,12/13/2022,19.4,20.9,32.000000,73.000000,,,160.000000
227150,MiniPAT,12/14/2022,19.5,21.0,31.000000,70.000000,,,158.000000
227150,MiniPAT,12/15/2022,19.4,20.9,36.000000,76.000000,,,160.000000
227150,MiniPAT,12/16/2022,18.7,20.8,37.000000,74.000000,,,160.000000
227150,MiniPAT,12/17/2022,18.8,20.9,34.000000,71.000000,,,160.000000
227150,MiniPAT,12/18/2022,19.2,20.8,32.000000,69.000000,,,163.000000
227150,MiniPAT,12/19/2022,19.1,21.8,14.000000,70.000000,,,164.000000
227150,MiniPAT,12/20/2022,19.3,21.6,6.000000,72.000000,,,172.000000
227150,MiniPAT,12/21/2022,19.1,21.8,8.000000,67.000000,,,168.000000
227150,MiniPAT,12/22/2022,19.0,21.8,34.000000,66.000000,,,163.000000
227150,MiniPAT,12/23/2022,19.0,21.8,29.000000,74.000000,,,157.000000
227150,MiniPAT,12/24/2022,19.1,22.0,20.000000,74.000000,,,159.000000
227150,MiniPAT,12/25/2022,18.7,22.1,32.000000,75.000000,,,161.000000
227150,MiniPAT,12/26/2022,18.6,21.9,21.000000,73.000000,,,165.000000
227150,MiniPAT,12/27/2022,18.9,22.1,15.000000,75.000000,,,166.000000
227150,MiniPAT,12/28/2022,18.9,22.6,20.000000,77.000000,,,165.000000
227150,MiniPAT,12/29/2022,18.8,22.5,24.000000,75.000000,,,164.000000
227150,MiniPAT,12/30/2022,19.4,22.0,37.000000,72.000000,,,160.000000
227150,MiniPAT,12/31/2022,19.5,22.1,28.000000,74.000000,,,160.000000
227150,MiniPAT,01/01/2023,19.5,22.2,24.000000,69.000000,,,165.000000
227150,MiniPAT,01/02/2023,17.8,22.2,20.000000,164.000000,,,167.000000
227150,MiniPAT,01/07/2023,18.4,21.9,31.000000,144.000000,,,145.000000
227150,MiniPAT,01/08/2023,18.3,22.2,28.000000,156.000000,,,160.000000
227150,MiniPAT,01/09/2023,18.4,22.7,26.000000,154.000000,,,155.000000
227150,MiniPAT,01/10/2023,17.8,22.1,39.000000,210.000000,,,154.000000
227150,MiniPAT,01/11/2023,18.3,21.9,21.000000,174.000000,,,160.000000
227150,MiniPAT,01/12/2023,18.1,21.9,39.000000,176.000000,,,152.000000
227150,MiniPAT,01/13/2023,17.9,21.9,49.000000,216.000000,,,155.000000
227150,MiniPAT,01/14/2023,18.2,21.8,37.000000,174.000000,,,157.000000
227150,MiniPAT,01/15/2023,16.4,21.3,46.000000,301.000000,,,151.000000
227150,MiniPAT,01/16/2023,18.3,21.7,29.000000,172.000000,,,158.000000
227150,MiniPAT,01/17/2023,17.9,21.9,32.000000,207.000000,,,153.000000
227150,MiniPAT,01/18/2023,18.0,22.2,41.000000,208.000000,,,159.000000
227150,MiniPAT,01/19/2023,18.1,22.3,53.000000,197.000000,,,139.000000
227150,MiniPAT,01/20/2023,18.2,22.9,22.000000,185.000000,,,157.000000
227150,MiniPAT,01/21/2023,17.8,22.9,37.000000,193.000000,,,154.000000
227150,MiniPAT,01/22/2023,17.9,22.2,47.000000,199.000000,,,153.000000
