DeployID,Ptt,DepthSensor,Source,Instr,Date,Hours,LonMethod,Type,LocationQuality,Latitude,Longitude,PerCentMLTime,MLTave,MLTmin,MLTmax,MLDExtreme,SSTAve,SSTmin,SSTmax,TempMin,DepthMin,DepthMax
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 30-Aug-2023,24,,interval,,,,100.000000,18.600000,18.500000,18.799999,80.250000,,,,18.50,45.50,80.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 31-Aug-2023,24,,interval,,,,100.000000,18.700000,18.600000,18.900000,80.250000,,,,18.60,36.50,80.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 01-Sep-2023,24,,interval,,,,99.000000,18.800000,18.400000,18.900000,77.250000,,,,18.30,35.50,80.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 02-Sep-2023,24,,interval,,,,100.000000,18.600000,18.400000,18.799999,68.250000,,,,18.40,27.50,68.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 03-Sep-2023,24,,interval,,,,100.000000,18.700000,18.400000,18.799999,67.250000,,,,18.40,44.50,68.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 04-Sep-2023,24,,interval,,,,100.000000,18.700000,18.600000,18.700001,74.250000,,,,18.60,39.50,74.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 05-Sep-2023,24,,interval,,,,100.000000,18.700000,18.600000,18.900000,70.250000,,,,18.60,18.50,70.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 06-Sep-2023,24,,interval,,,,100.000000,18.800000,18.799999,18.900000,69.250000,,,,18.80,41.50,68.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 07-Sep-2023,24,,interval,,,,100.000000,18.800000,18.600000,18.900000,69.250000,,,,18.60,27.50,68.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 11-Sep-2023,24,,interval,,,,100.000000,18.700000,18.600000,18.799999,67.250000,,,,18.60,43.50,68.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 12-Sep-2023,24,,interval,,,,100.000000,18.700000,18.500000,18.799999,71.250000,,,,18.50,43.50,70.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 13-Sep-2023,24,,interval,,,,100.000000,18.700000,18.600000,18.700001,67.250000,,,,18.60,43.50,68.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 14-Sep-2023,24,,interval,,,,100.000000,18.700000,18.600000,18.799999,68.250000,,,,18.60,46.50,68.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 15-Sep-2023,24,,interval,,,,100.000000,18.600000,18.400000,18.799999,74.250000,,,,18.40,39.50,74.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 16-Sep-2023,24,,interval,,,,99.000000,18.600000,18.200001,18.799999,89.250000,,,,18.20,24.50,90.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 17-Sep-2023,24,,interval,,,,100.000000,18.600000,18.299999,18.799999,76.250000,,,,18.30,21.50,76.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 18-Sep-2023,24,,interval,,,,100.000000,18.500000,18.100000,18.799999,101.250000,,,,18.10,32.50,100.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 19-Sep-2023,24,,interval,,,,99.000000,18.500000,18.200001,18.799999,78.250000,,,,18.10,17.50,78.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 20-Sep-2023,24,,interval,,,,78.000000,18.600000,18.400000,19.200001,65.250000,,,,18.20,15.50,66.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 21-Sep-2023,24,,interval,,,,100.000000,19.100000,18.600000,20.000000,53.250000,19.90,19.85,19.95,18.60,1.00,53.00
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 22-Sep-2023,24,,interval,,,,90.000000,18.900000,18.500000,19.400000,69.250000,,,,18.50,26.50,68.50
