Ptt,Instr,Date,MinTemp,MaxTemp,MinDepth,MaxDepth,MaxDeltaTilt,AvgMinMaxTilt,DeltaLight
47618,MiniPAT,04/21/2019,21.5,25.5,0.000000,126.000000,,,176.000000
47618,MiniPAT,04/22/2019,21.9,24.9,1.000000,133.000000,,,156.000000
47618,MiniPAT,04/23/2019,20.4,25.3,0.000000,157.000000,,,153.000000
47618,MiniPAT,04/24/2019,19.8,25.4,0.000000,166.000000,,,168.000000
47618,MiniPAT,04/25/2019,18.7,25.5,0.000000,210.000000,,,164.000000
47618,MiniPAT,04/26/2019,20.3,25.2,0.000000,110.000000,,,165.000000
47618,MiniPAT,04/27/2019,18.5,24.7,0.000000,186.000000,,,186.000000
47618,MiniPAT,04/28/2019,19.1,24.4,0.000000,143.000000,,,164.000000
47618,MiniPAT,04/29/2019,20.3,23.9,1.000000,124.000000,,,165.000000
47618,MiniPAT,04/30/2019,19.5,25.0,0.000000,165.000000,,,162.000000
47618,MiniPAT,05/01/2019,20.4,25.3,0.000000,143.000000,,,157.000000
47618,MiniPAT,05/02/2019,11.7,25.4,0.000000,440.000000,,,158.000000
47618,MiniPAT,05/03/2019,11.1,25.5,0.000000,461.000000,,,166.000000
47618,MiniPAT,05/04/2019,19.5,25.6,0.000000,196.000000,,,160.000000
47618,MiniPAT,05/05/2019,17.4,25.6,0.000000,272.000000,,,155.000000
47618,MiniPAT,05/06/2019,19.3,25.7,0.000000,204.000000,,,165.000000
47618,MiniPAT,05/07/2019,20.9,25.9,0.000000,128.000000,,,172.000000
47618,MiniPAT,05/08/2019,20.9,24.8,0.000000,111.000000,,,175.000000
47618,MiniPAT,05/09/2019,18.6,24.4,0.000000,201.000000,,,159.000000
47618,MiniPAT,05/10/2019,17.2,24.4,0.000000,245.000000,,,164.000000
47618,MiniPAT,05/11/2019,18.4,24.3,-1.000000,197.000000,,,165.000000
47618,MiniPAT,05/12/2019,18.7,24.3,0.000000,175.000000,,,166.000000
47618,MiniPAT,05/13/2019,14.2,24.2,0.000000,328.000000,,,166.000000
47618,MiniPAT,05/14/2019,17.5,24.3,0.000000,241.000000,,,170.000000
47618,MiniPAT,05/15/2019,18.4,24.1,0.000000,165.000000,,,178.000000
47618,MiniPAT,05/16/2019,17.7,24.0,1.000000,195.000000,,,173.000000
47618,MiniPAT,05/21/2019,16.9,23.8,1.000000,246.000000,,,171.000000
47618,MiniPAT,05/22/2019,18.4,23.5,1.000000,180.000000,,,179.000000
47618,MiniPAT,05/23/2019,11.9,23.4,1.000000,421.000000,,,180.000000
47618,MiniPAT,05/24/2019,17.0,23.7,1.000000,242.000000,,,170.000000
47618,MiniPAT,05/25/2019,18.3,23.5,0.000000,190.000000,,,172.000000
47618,MiniPAT,05/26/2019,20.9,23.4,1.000000,91.000000,,,170.000000
47618,MiniPAT,05/27/2019,20.4,23.5,1.000000,123.000000,,,178.000000
47618,MiniPAT,05/28/2019,17.4,23.1,0.000000,215.000000,,,179.000000
47618,MiniPAT,05/29/2019,15.1,23.3,1.000000,282.000000,,,172.000000
47618,MiniPAT,05/30/2019,17.2,23.3,1.000000,239.000000,,,173.000000
47618,MiniPAT,05/31/2019,19.7,23.5,1.000000,150.000000,,,175.000000
47618,MiniPAT,06/01/2019,19.7,24.0,0.000000,163.000000,,,165.000000
47618,MiniPAT,06/02/2019,21.4,24.1,1.000000,106.000000,,,168.000000
47618,MiniPAT,06/03/2019,22.1,24.7,0.000000,107.000000,,,171.000000
47618,MiniPAT,06/04/2019,22.0,24.6,1.000000,107.000000,,,169.000000
47618,MiniPAT,06/05/2019,9.7,24.6,0.000000,508.000000,,,177.000000
47618,MiniPAT,06/06/2019,18.8,25.0,0.000000,237.000000,,,168.000000
47618,MiniPAT,06/07/2019,22.3,25.1,0.000000,119.000000,,,172.000000
47618,MiniPAT,06/08/2019,20.3,25.5,0.000000,188.000000,,,155.000000
47618,MiniPAT,06/09/2019,21.3,25.9,1.000000,177.000000,,,163.000000
47618,MiniPAT,06/10/2019,19.0,26.1,0.000000,254.000000,,,157.000000
47618,MiniPAT,06/11/2019,12.0,25.6,0.000000,453.000000,,,183.000000
47618,MiniPAT,06/12/2019,21.9,26.2,1.000000,141.000000,,,176.000000
47618,MiniPAT,06/13/2019,17.4,26.0,0.000000,328.000000,,,173.000000
47618,MiniPAT,06/14/2019,23.4,26.0,1.000000,139.000000,,,159.000000
47618,MiniPAT,06/15/2019,20.4,26.4,1.000000,236.000000,,,172.000000
47618,MiniPAT,06/16/2019,24.2,26.0,1.000000,117.000000,,,156.000000
47618,MiniPAT,06/17/2019,24.1,26.0,0.000000,128.000000,,,149.000000
47618,MiniPAT,06/18/2019,22.6,26.0,4.000000,174.000000,,,156.000000
47618,MiniPAT,06/19/2019,11.6,26.0,1.000000,458.000000,,,154.000000
47618,MiniPAT,06/20/2019,22.2,25.9,0.000000,162.000000,,,173.000000
47618,MiniPAT,06/21/2019,6.4,25.8,0.000000,705.000000,,,161.000000
47618,MiniPAT,06/22/2019,23.6,25.8,0.000000,137.000000,,,163.000000
47618,MiniPAT,06/23/2019,22.6,25.6,1.000000,166.000000,,,170.000000
47618,MiniPAT,06/24/2019,23.0,25.9,1.000000,167.000000,,,166.000000
47618,MiniPAT,06/25/2019,22.6,25.6,1.000000,167.000000,,,166.000000
47618,MiniPAT,06/26/2019,21.4,25.7,0.000000,202.000000,,,176.000000
47618,MiniPAT,06/27/2019,22.6,25.9,1.000000,159.000000,,,178.000000
47618,MiniPAT,06/28/2019,19.9,25.9,1.000000,241.000000,,,175.000000
47618,MiniPAT,06/29/2019,23.7,26.0,1.000000,133.000000,,,164.000000
47618,MiniPAT,06/30/2019,19.5,26.5,1.000000,259.000000,,,153.000000
47618,MiniPAT,07/01/2019,20.2,26.3,0.000000,232.000000,,,167.000000
47618,MiniPAT,07/02/2019,21.7,26.2,1.000000,204.000000,,,173.000000
47618,MiniPAT,07/03/2019,24.0,26.1,1.000000,136.000000,,,160.000000
47618,MiniPAT,07/04/2019,20.8,26.0,6.000000,205.000000,,,163.000000
47618,MiniPAT,07/05/2019,22.3,25.9,1.000000,188.000000,,,179.000000
47618,MiniPAT,07/06/2019,22.0,25.8,1.000000,185.000000,,,163.000000
47618,MiniPAT,07/07/2019,14.3,25.8,1.000000,371.000000,,,182.000000
47618,MiniPAT,07/08/2019,23.9,25.9,1.000000,131.000000,,,169.000000
47618,MiniPAT,07/09/2019,23.9,26.2,1.000000,142.000000,,,161.000000
47618,MiniPAT,07/10/2019,9.5,26.0,1.000000,503.000000,,,166.000000
47618,MiniPAT,07/11/2019,19.4,26.1,0.000000,262.000000,,,155.000000
