"Date","Ptt","Latitude","Longitude","day.at.liberty","month","DistfromStart","bathy_depth","DistToShelf","DistToShore"
2019-02-02,47618,-21.925,-160.3,1,"Feb",0,-4768.93505859375,89.0207827643838,90.0743918331404
2019-02-03,47618,-21.98,-160.33,2,"Feb",6.85381271462749,-4752.9951171875,95.8074551702923,96.8489122888846
2019-02-04,47618,-22.0791666666667,-160.433333333333,3,"Feb",22.1848296345245,-4558.3076171875,110.886142757527,111.960315738689
2019-02-05,47618,-21.9625,-160.45,4,"Feb",35.2708417889467,-4754.1201171875,101.663634162199,102.84771819011
2019-02-06,47618,-21.955,-160.275,5,"Feb",53.3375170091727,-4824.2451171875,90.4258057943157,91.4197505985651
2019-02-07,47618,-21.7125,-160.13125,6,"Feb",84.1150208413744,-4832.70068359375,59.7759371471103,60.8038774103201
2019-02-08,47618,-21.34,-159.97,7,"Feb",128.767358368309,-4090.68774414062,17.9156345468247,18.9257731231201
2019-02-09,47618,-21.04,-159.94,8,"Feb",162.270522293282,-3986.85913085938,21.6257359074457,22.5397065289665
2019-02-10,47618,-20.98125,-159.96875,9,"Feb",169.452603289384,-4121.92919921875,28.7028841695887,29.6028525707074
2019-02-11,47618,-21,-160.06875,10,"Feb",180.041478966281,-4591.84423828125,33.956203445773,34.9150445605161
2019-02-12,47618,-20.935,-160.16,11,"Feb",191.958213483924,-4312.8525390625,45.8470032740342,46.8067790102193
2019-02-13,47618,-20.9125,-160.275,12,"Feb",204.161598949309,-4479.23291015625,56.842509940176,57.8677447871565
2019-02-14,47618,-20.97,-160.25,13,"Feb",211.062326912586,-4242.75244140625,51.2022172418618,52.2473026833079
2019-02-15,47618,-20.99375,-160.0875,14,"Feb",228.138843761146,-4522.34423828125,35.8906450314915,36.8506134163457
2019-02-16,47618,-21.0375,-159.9625,15,"Feb",241.995680399297,-4065.35913085938,23.2503845906533,24.1838370345592
2019-02-17,47618,-20.9458333333333,-159.879166666667,16,"Feb",255.365009341635,-3950.94921875,28.1591576411475,29.4239975126518
2019-02-18,47618,-20.885,-159.8,17,"Feb",266.012661515062,-4138.7041015625,33.8191818206178,35.1320700275569
2019-02-19,47618,-20.86875,-159.71875,18,"Feb",274.645335992512,-4521.70458984375,36.5571511167723,37.3218207895139
2019-02-20,47618,-20.825,-159.61875,19,"Feb",286.119238331265,-4445.7646484375,43.5842184250108,44.296096012016
2019-02-21,47618,-20.8,-159.46,20,"Feb",302.852123365433,-4620.46826171875,53.1737425960033,54.081114862186
2019-02-22,47618,-20.85,-159.345,21,"Feb",316.033990101507,-4684.63818359375,56.5093428344332,57.6116215362774
2019-02-23,47618,-20.935,-159.28,22,"Feb",327.649834727008,-4645.88525390625,55.9658183381317,56.9199122709494
2019-02-24,47618,-20.87,-159.245,23,"Feb",335.740416294129,-4758.337890625,63.0370328162586,64.0421460951125
2019-02-25,47618,-20.85,-159.14,24,"Feb",346.874944686318,-4864.4501953125,73.3073951706007,74.2612823532793
2019-02-26,47618,-20.7791666666667,-159.0875,25,"Feb",356.456811584651,-4898.9912109375,82.2197383481869,83.208865921454
2019-02-27,47618,-20.725,-159.05,26,"Feb",363.631881894998,-4676.4375,88.9068807275761,89.9186078923568
2019-02-28,47618,-20.7125,-159.020833333333,27,"Feb",366.968601914684,-4682.12744140625,92.1700070225086,93.1757258735514
2019-03-01,47618,-20.74,-159.02,28,"Mar",370.027690282522,-4711.3076171875,90.4646354202742,91.4490166063608
2019-03-02,47618,-20.8,-159.075,29,"Mar",378.814619302944,-4833.75,81.9966071609878,82.9601272889067
2019-03-03,47618,-21.1,-159.15,30,"Mar",413.070212076292,-4815.2392578125,60.9732830172309,61.9556325840206
2019-03-04,47618,-21.3208333333333,-159.154166666667,31,"Mar",437.629556821346,-4612.78955078125,58.8100253729994,59.7869995236984
2019-03-05,47618,-21.4375,-159.15625,32,"Mar",450.604091636168,-4511.54248046875,61.5087601355099,62.4393863169094
2019-03-06,47618,-21.2916666666667,-159.258333333333,33,"Mar",469.961379226717,-4658.13525390625,47.7289308527309,48.7099378673134
2019-03-07,47618,-21.13125,-159.0375,34,"Mar",498.982365040691,-4655.1201171875,71.6726369437815,72.6732949883612
2019-03-08,47618,-21.135,-158.88,35,"Mar",515.323040489251,-4766.43994140625,87.7842733182339,88.7902296223509
2019-03-09,47618,-21.345,-158.97,36,"Mar",540.468075295677,-4677.8125,78.0989756885384,79.0753433912666
2019-03-10,47618,-21.66,-159.175,37,"Mar",581.414945295119,-4093.02709960938,71.6804861387965,72.5614230972648
2019-03-11,47618,-22.0041666666667,-159.341666666667,38,"Mar",623.373416952593,-4634.43505859375,90.463588770387,91.5730181971106
2019-03-12,47618,-22.1125,-159.75,39,"Mar",667.144679670917,-4724.06005859375,92.5058654323092,93.4738366278581
