"Day","DeployID","MinDepth","MaxDepth","MeanDepth","MinTemp","MaxTemp","MeanTemp"
2019-02-02,47618,2,81.5,24.7022471910112,24.8,28.8,27.7033707865169
2019-02-03,47618,1,83.5,26.5052083333333,23.8,28.8,27.2861111111111
2019-02-04,47618,1,71.5,19.125,24.5,28.7,27.4520833333333
2019-02-05,47618,1,48.5,22.6354166666667,26.3,28,27.4826388888889
2019-02-06,47618,0.5,60.5,16.2743055555556,24.3,29.1,27.6451388888889
2019-02-07,47618,1,65,19.4965277777778,24.2,28,27.5201388888889
2019-02-08,47618,0.5,86.5,18.4375,23.5,28.1,27.3881944444444
2019-02-09,47618,1,97,23.7708333333333,24.4,28.7,27.8111111111111
2019-02-10,47618,1.5,329,32.0069444444444,15.8,28.6,27.65
2019-02-11,47618,3,99.5,31.2013888888889,25.2,28.5,26.8520833333333
2019-02-12,47618,1,55.5,27.3072916666667,23.5,28.4,27.4729166666667
2019-02-13,47618,2,64.5,31.90625,24.7,28.2,27.4201388888889
2019-02-14,47618,1,153,35.8090277777778,22.1,28.2,27.3354166666667
2019-02-15,47618,4.5,433.5,35.1666666666667,11.3,28.1,27.2284722222222
2019-02-16,47618,1.5,217,35.3993055555556,19.2,28,27.0451388888889
2019-02-17,47618,1.5,213,43.3263888888889,19.7,28.3,26.9826388888889
2019-02-18,47618,2.5,220.5,41.1944444444444,19.7,28.6,27.2076388888889
2019-02-19,47618,1.5,247,33.78125,18.7,28.4,27.4006944444444
2019-02-20,47618,3.5,214,31.0833333333333,20.3,28.5,27.8354166666667
2019-02-21,47618,1,79,28.4270833333333,24,28.2,26.825
2019-02-22,47618,2,229,35.7083333333333,19.3,28.5,27.3361111111111
2019-02-23,47618,1,88.5,33.6597222222222,24.2,28.3,27.5666666666667
2019-02-24,47618,2.5,79,29.9479166666667,24.5,28.3,27.8902777777778
2019-02-25,47618,5,138.5,32.0069444444444,23.1,28.6,27.7625
2019-02-26,47618,1.5,224,39.7881944444444,20,28.3,27.4013888888889
2019-02-27,47618,8,182,33.0868055555556,21.8,28.4,27.953125
