Date,Ptt,Latitude,Longitude,day.at.liberty,month,DistfromStart,bathy_depth,DistToShelf,DistToShore,MinTempFromSeries,MeanTempFromSeries,MaxTempFromSeries,MinDepthFromSeries,MaxDepthFromSeries,MeanDepthFromSeries,MinTemp,MaxTemp,MinDepth,MaxDepth,MeanTempPDT,MeanDepthPDT,DistTravelled
2019-02-02,47618,-21.925,-160.3,1,Feb,0,-4768.93505859375,89.0207827643838,90.0743918331404,24.8,27.703370786516853,28.8,2,81.5,24.702247191011242,24.3,29,-1,101,26.4125,43.611111111111114,NA
2019-02-03,47618,-21.98,-160.33,2,Feb,6.85381271462749,-4752.9951171875,95.8074551702923,96.8489122888846,23.8,27.28611111111111,28.8,1,83.5,26.50520833333334,23.1,28.9,0,107,NA,NA,6.833215239650082
2019-02-04,47618,-22.0791666666667,-160.433333333333,3,Feb,22.1848296345245,-4558.3076171875,110.886142757527,111.960315738689,24.5,27.452083333333334,28.7,1,71.5,19.125,24.2,28.8,0,75,26.599999999999998,28.642857142857142,15.309748274034144
2019-02-05,47618,-21.9625,-160.45,4,Feb,35.2708417889467,-4754.1201171875,101.663634162199,102.84771819011,26.3,27.48263888888889,28,1,48.5,22.635416666666668,26,29.2,0,52,27.32,21.416666666666668,13.032667069463201
2019-02-06,47618,-21.955,-160.275,5,Feb,53.3375170091727,-4824.2451171875,90.4258057943157,91.4197505985651,24.3,27.645138888888887,29.1,0.5,60.5,16.274305555555564,24.3,29.1,0,62,26.839999999999996,22.75,18.095163826076977
2019-02-07,47618,-21.7125,-160.13125,6,Feb,84.1150208413744,-4832.70068359375,59.7759371471103,60.8038774103201,24.2,27.520138888888887,28,1,65,19.496527777777764,23.7,28.1,-1,81,26.450000000000003,29.785714285714285,30.689732179891916
2019-02-08,47618,-21.34,-159.97,7,Feb,128.767358368309,-4090.68774414062,17.9156345468247,18.9257731231201,23.5,27.388194444444444,28.1,0.5,86.5,18.4375,22.9,28.2,0,106,25.575000000000003,43.611111111111114,44.4994773831089
2019-02-09,47618,-21.04,-159.94,8,Feb,162.270522293282,-3986.85913085938,21.6257359074457,22.5397065289665,24.4,27.81111111111111,28.7,1,97,23.77083333333332,23.8,28.7,0,119,26.187500000000004,48.05555555555556,33.361608976937944
2019-02-10,47618,-20.98125,-159.96875,9,Feb,169.452603289384,-4121.92919921875,28.7028841695887,29.6028525707074,15.8,27.65,28.6,1.5,329,32.006944444444436,15.6,28.7,0,350,22.1625,144.05555555555554,7.158491642830693
2019-02-11,47618,-21,-160.06875,10,Feb,180.041478966281,-4591.84423828125,33.956203445773,34.9150445605161,25.2,26.852083333333333,28.5,3,99.5,31.201388888888882,24,28.6,0,106,26.35,43.611111111111114,10.602899177696074
2019-02-12,47618,-20.935,-160.16,11,Feb,191.958213483924,-4312.8525390625,45.8470032740342,46.8067790102193,23.5,27.472916666666666,28.4,1,55.5,27.307291666666657,21,28.6,0,186,NA,NA,11.909598061806989
2019-02-13,47618,-20.9125,-160.275,12,Feb,204.161598949309,-4479.23291015625,56.842509940176,57.8677447871565,24.7,27.42013888888889,28.2,2,64.5,31.90625,24.8,28.3,0,79,26.766666666666666,30.928571428571427,12.219280257767824
2019-02-14,47618,-20.97,-160.25,13,Feb,211.062326912586,-4242.75244140625,51.2022172418618,52.2473026833079,22.1,27.335416666666667,28.2,1,153,35.809027777777786,22.1,28.4,0,162,25.1875,65.83333333333333,6.87675415565452
2019-02-15,47618,-20.99375,-160.0875,14,Feb,228.138843761146,-4522.34423828125,35.8906450314915,36.8506134163457,11.3,27.228472222222223,28.1,4.5,433.5,35.16666666666667,10.9,28.2,0,458,20.099999999999998,189.38888888888889,17.1006056203196
2019-02-16,47618,-21.0375,-159.9625,15,Feb,241.995680399297,-4065.35913085938,23.2503845906533,24.1838370345592,19.2,27.04513888888889,28,1.5,217,35.399305555555564,19.1,28.2,0,231,23.674999999999997,93.38888888888889,13.86837382776445
2019-02-17,47618,-20.9458333333333,-159.879166666667,16,Feb,255.365009341635,-3950.94921875,28.1591576411475,29.4239975126518,19.7,26.98263888888889,28.3,1.5,213,43.32638888888887,19.6,28.5,0,227,23.8125,94.27777777777777,13.344658315629067
2019-02-18,47618,-20.885,-159.8,17,Feb,266.012661515062,-4138.7041015625,33.8191818206178,35.1320700275569,19.7,27.20763888888889,28.6,2.5,220.5,41.19444444444444,19.6,29.5,0,232,24.05,94.27777777777777,10.639011886838611
2019-02-19,47618,-20.86875,-159.71875,18,Feb,274.645335992512,-4521.70458984375,36.5571511167723,37.3218207895139,18.7,27.400694444444444,28.4,1.5,247,33.78125,18.6,28.7,0,261,23.437499999999996,110.27777777777777,8.643811579706767
2019-02-20,47618,-20.825,-159.61875,19,Feb,286.119238331265,-4445.7646484375,43.5842184250108,44.296096012016,20.3,27.835416666666667,28.5,3.5,214,31.083333333333336,12.8,28.9,0,394,21.162499999999998,165.38888888888889,11.479569175408484
2019-02-21,47618,-20.8,-159.46,20,Feb,302.852123365433,-4620.46826171875,53.1737425960033,54.081114862186,24,26.825,28.2,1,79,28.427083333333343,22.9,28.4,0,127,25.7625,50.72222222222222,16.75601287256805
2019-02-22,47618,-20.85,-159.345,21,Feb,316.033990101507,-4684.63818359375,56.5093428344332,57.6116215362774,19.3,27.336111111111112,28.5,2,229,35.708333333333336,19.1,29.4,0,243,23.8375,99.61111111111111,13.188506339887425
2019-02-23,47618,-20.935,-159.28,22,Feb,327.649834727008,-4645.88525390625,55.9658183381317,56.9199122709494,24.2,27.566666666666666,28.3,1,88.5,33.659722222222214,24.2,28.4,0,93,26.54285714285714,38.0625,11.588811200409257
2019-02-24,47618,-20.87,-159.245,23,Feb,335.740416294129,-4758.337890625,63.0370328162586,64.0421460951125,24.5,27.89027777777778,28.3,2.5,79,29.947916666666668,24.6,28.4,0,83,27.049999999999997,29.785714285714285,8.065307782619008
