"","Date","Ptt","Latitude","Longitude","day.at.liberty","month","DistfromStart","bathy_depth","DistToShelf","DistToShore","MinTemp","MaxTemp","MinDepth","MaxDepth","MeanTempPDT","MeanDepthPDT","DistTravelled","date","rs_gsla","rs_vcur","rs_ucur","rs_current_velocity","rs_current_bearing","rs_sst_interpolated","degree_angle","radius"
"1","2022-12-06",227150,-31.77816,159.34932,1,"Dec",0,-86.1275024414062,0.172564737212895,32.1900281698875,19,20.2,11,74,19.88,18.5909090909091,NA,2022-12-06,0.0138861337036302,-0.0759922481803061,-0.187844292188668,0.202633412573936,67.9742479562716,20.7300000000001,22.0257520437284,0.384421893390931
"2","2022-12-07",227150,-31.6583333333333,159.375,2,"Dec",13.5437124144715,-1671.56494140625,9.50765896646134,27.2160999947242,18.9,20.8,2,77,19.7666666666667,17.8846153846154,13.507707632442,2022-12-07,-0.0219736621244259,-0.0752292738009858,-0.186165748554164,0.200791258702553,67.9964470554647,21.1000000000001,22.0035529445353,0.384034446019034
"3","2022-12-08",227150,-31.625,159.3875,3,"Dec",17.4345172039518,-1792.43505859375,13.1643486291806,27.3431739692994,18.9,20.3,12,68,19.38,20.7727272727273,3.88156161514042,2022-12-08,0.00518822577937833,-0.0282300520348527,-0.187691697312804,0.189802816306955,81.4464572974282,20.9800000000001,8.5535427025718,0.149287482869812
"4","2022-12-09",227150,-31.5875,159.43125,4,"Dec",23.312721758153,-1843.43505859375,18.9700394956511,30.8820694456593,18.7,20.6,27,69,19.675,21.3888888888889,5.87580584948084,2022-12-09,0.00747714891733936,-0.0195321441106008,-0.201883020768163,0.2028256855727,84.4738439046644,20.8500000000001,5.52615609533558,0.0964496188427595
"5","2022-12-10",227150,-31.5375,159.49375,5,"Dec",31.4353007034435,-1650.31005859375,26.2787209608324,36.7106050350831,18.3,20.9,32,70,19.625,24.0555555555556,8.12060193460367,2022-12-10,0.0100712618070285,-0.0160224619657272,-0.188454671692125,0.189134562071636,85.1403855690276,20.82,4.85961443097239,0.0848162721978988
"6","2022-12-11",227150,-31.5,159.55,6,"Dec",38.2041273040542,-1704.31005859375,32.6024803451834,42.4734534781509,18.6,20.8,28,79,19.6,24.9444444444444,6.77009080753441,2022-12-11,-0.0180061953519601,-0.00793493354493156,-0.131078998367235,0.131318951348692,86.5357984223186,21.0500000000001,3.46420157768137,0.0604617234833219
"7","2022-12-12",227150,-31.45,159.633333333333,7,"Dec",47.8667530107037,-1738.31494140625,41.9510613572738,51.3223695520917,19,20.8,30,76,19.775,24.9444444444444,9.66667733145967,2022-12-12,-0.000915569255184411,0.0865212946149268,-0.187691697312804,0.206673916259417,114.748549088913,21.1200000000001,335.251450911087,5.85124164048661
"8","2022-12-13",227150,-31.425,159.65,8,"Dec",51.0648647609167,-1712.81494140625,44.3457901238552,53.5629302572263,19.4,20.9,32,73,20.25,24.0555555555556,3.19279980558397,2022-12-13,0.00396746677246578,0.0766026276837624,-0.178383409885096,0.19413552866565,113.239984918314,21.09,336.760015081686,5.87757105224118
"9","2022-12-14",227150,-31.3875,159.675,9,"Dec",55.8624232191949,-1627.56494140625,48.0742319039571,57.0952640981632,19.5,21,31,70,20.225,24.0555555555556,4.78957324338637,2022-12-14,-0.0231944211313384,0.105137869470343,-0.221567759754627,0.245247311421445,115.38517688087,21.1000000000001,334.61482311913,5.84013038940726
"10","2022-12-15",227150,-31.40625,159.625,10,"Dec",61.0458914762716,-1725.125,42.8845009825347,51.9207868846606,19.4,20.9,36,76,20,27.6111111111111,5.18989789875965,2022-12-15,-0.0221262570002899,0.115666915904964,-0.234996108830665,0.261919847664357,116.206770618157,21.2800000000001,333.793229381843,5.82579087357784
"11","2022-12-16",227150,-31.43125,159.56875,11,"Dec",67.0640473493339,-1731.06494140625,36.8800769460656,45.9704688086395,18.7,20.8,37,74,19.9666666666667,24.6428571428571,6.02411299589899,2022-12-16,-0.020142523614057,0.101170402697877,-0.224161872644317,0.245934941660305,114.290962408351,21.22,335.709037591649,5.85922803467569
"12","2022-12-17",227150,-31.39375,159.425,12,"Dec",81.3286784129515,-1847,26.3908098071068,34.9623629761402,18.8,20.9,34,71,19.95,24.0555555555556,14.2876602527692,2022-12-17,-0.00381487189660171,0.0808752842079563,-0.208292005554453,0.223442098033504,111.220115245036,21.22,338.779884754964,5.91282442850106
"13","2022-12-18",227150,-31.36875,159.2875,13,"Dec",94.6742138918079,-1975.68994140625,16.7527009571163,26.0708621032092,19.2,20.8,32,69,20.025,24.0555555555556,13.3697989127545,2022-12-18,0.00137335388277662,-0.0405902369798422,-0.209360169685502,0.213258641064839,79.0277597621884,21.1700000000001,10.9722402378116,0.191501718469618
"14","2022-12-19",227150,-31.4125,159.25,14,"Dec",100.702157425465,-1919.06005859375,11.173269978593,20.1485418248517,19.1,21.8,14,70,20.6,21.5,6.02097456962803,2022-12-19,-0.0181587902278241,-0.0904887613873926,-0.208139410678589,0.22695865309579,66.5029703215681,21.2300000000001,23.4970296784319,0.410100532327461
"15","2022-12-20",227150,-31.425,159.25,15,"Dec",102.092094008522,-1915.61999511719,10.5779817706787,19.2113510018412,19.3,21.6,6,72,20.82,18.5909090909091,1.38595861724145,2022-12-20,-0.0265515084003479,-0.0521874475455114,-0.188912456319717,0.195988381885418,74.5570782672109,21.2400000000001,15.4429217327891,0.269529830364958
"16","2022-12-21",227150,-31.44375,159.23125,16,"Dec",104.832784672404,-1699.61999511719,7.95515370186966,16.4998243944637,19.1,21.8,8,67,20.86,17.8636363636364,2.73851061883823,2022-12-21,-0.0184639799795523,-0.0498985244075504,-0.164955060809058,0.172336980432439,73.1695554146403,21.2500000000001,16.8304445853597,0.293746672588979
"17","2022-12-22",227150,-31.45,159.2125,17,"Dec",106.74241654364,-1512.56005859375,6.07233223171191,14.710366388165,19,21.8,34,66,NA,NA,1.91228074069518,2022-12-22,-0.020142523614057,-0.0511192834144629,-0.155341583629622,0.163536505836975,71.7848332603998,21.45,18.2151667396002,0.317914633405784
"18","2022-12-23",227150,-31.45,159.2,18,"Dec",107.928165612126,-1297,5.1012827169837,13.8336987247347,19,21.8,29,74,NA,NA,1.18816052528467,2022-12-23,-0.0230418262554743,-0.0709566172767918,-0.146338485953642,0.162633926370144,64.132177353333,21.52,25.867822646667,0.451478675506293
"19","2022-12-24",227150,-31.43125,159.175,19,"Dec",111.086006195879,-1266,4.06106049713083,13.5027962762846,19.1,22,20,74,20.55,22.2777777777778,3.15753680055731,2022-12-24,-0.0183113851036882,-0.105595654097935,-0.120549951932614,0.160258332311697,48.783281691691,21.4800000000001,41.216718308309,0.719367441347019
"20","2022-12-25",227150,-31.425,159.175,20,"Dec",111.780974487407,-1266,4.52820681654275,14.0047913834146,18.7,22.1,32,75,20.55,24.0555555555556,0.692980323572916,2022-12-25,-0.0135809439519021,-0.122991469946439,-0.126348557215449,0.176326003726085,45.7713775953734,21.71,44.2286224046266,0.771935084582066
"21","2022-12-26",227150,-31.4,159.175,21,"Dec",114.560847653522,-1511.81005859375,6.40630456646875,16.1546627887371,18.6,21.9,21,73,20.425,22.2777777777778,2.77191452845825,2022-12-26,-0.00320449239314544,-0.159156455526223,-0.109563120870401,0.193222293720297,34.5434793281085,22.0400000000001,55.4565206718915,0.967898877424805
"22","2022-12-27",227150,-31.38125,159.18125,22,"Dec",116.728513187001,-1879.43994140625,8.18901011214908,18.2019216519386,18.9,22.1,15,75,20.7,21.5,2.16224911472129,2022-12-27,-0.0135809439519021,-0.133062731753468,-0.0796545252010438,0.155082345760886,30.9057453002802,22.0500000000001,59.0942546997198,1.03138931352224
"23","2022-12-28",227150,-31.34375,159.2,23,"Dec",121.262465095361,-2110.5,11.7302000452283,22.6670056514197,18.9,22.6,20,77,20.66,25.1363636363636,4.52436844852652,2022-12-28,-0.0125127798208536,-0.133825706132788,-0.0740085147940732,0.152926714095229,28.9435443825522,22.1900000000001,61.0564556174478,1.06563618012225
"24","2022-12-29",227150,-31.3125,159.20625,24,"Dec",124.787651178432,-2106.49755859375,14.1897470770355,25.964265256008,18.8,22.5,24,75,20.85,22.2777777777778,3.51553872940551,2022-12-29,0.0192269543588726,-0.138556147284574,-0.0477621961454534,0.146557269799152,19.0197718329001,22.22,70.9802281670999,1.23883868533271
"25","2022-12-30",227150,-31.2625,159.2375,25,"Dec",131.090723807081,-1990.99755859375,20.1676648627743,32.2559172243071,19.4,22,37,72,20.5,24.6428571428571,6.29178353213417,2022-12-30,0.0350968214487358,-0.075687058428578,0.0717195916561122,0.10426998916702,316.541750208565,22.4300000000001,133.458249791435,2.32928587280958
"26","2022-12-31",227150,-31.19375,159.2625,26,"Dec",139.096426818083,-1987.50244140625,27.5687939579312,40.1200939467515,19.5,22.1,28,74,20.825,24.9444444444444,7.98602959917413,2022-12-31,0.0483725756489097,-0.0570704835731616,0.0875894587459753,0.10454163466623,303.086976331599,22.45,146.913023668401,2.56411597707396
