"","Date","Ptt","Latitude","Longitude","day.at.liberty","month","DistToShelf","DistToShore"
"61",2022-05-24,227151,-34.6625,151.425,61,"May",22.8700154864069,49.5859387853303
"62",2022-05-25,227151,-34.7,151.45,62,"May",26.4432197024157,52.6145373517442
"63",2022-05-26,227151,-34.725,151.49375,63,"May",31.1541328010316,57.1654682915453
"64",2022-05-27,227151,-34.71875,151.5,64,"May",31.4671587676512,57.5506139892307
"65",2022-05-28,227151,-34.70625,151.51875,65,"May",32.5851854648415,58.9149506699365
"66",2022-05-29,227151,-34.78125,151.78125,66,"May",58.0062411994313,84.2150530136329
"67",2022-05-30,227151,-34.875,152.11875,67,"May",90.5623032298471,116.715993925521
"68",2022-05-31,227151,-34.8,151.85,68,"May",64.6277643394077,90.8249724841652
"69",2022-06-01,227151,-34.7875,151.65,69,"Jun",46.8714976742464,72.8210606653192
"70",2022-06-02,227151,-34.83125,151.51875,70,"Jun",36.8407508668985,62.1809495336428
"71",2022-06-03,227151,-34.8625,151.4,71,"Jun",26.5284673439707,52.615443684715
"72",2022-06-04,227151,-34.975,151.5,72,"Jun",37.0413826350274,60.0680914380818
"73",2022-06-05,227151,-35.08125,151.58125,73,"Jun",46.6607582805387,67.3863696357899
"74",2022-06-06,227151,-35.2,151.625,74,"Jun",54.4037421354382,72.9319597027466
"75",2022-06-07,227151,-35.325,151.683333333333,75,"Jun",64.1958748310247,81.9495759615352
"76",2022-06-08,227151,-35.40625,151.70625,76,"Jun",70.08516137449,87.3299198252115
"77",2022-06-09,227151,-35.375,151.5875,77,"Jun",58.9914802181207,76.084544653512
"78",2022-06-10,227151,-35.2916666666667,151.583333333333,78,"Jun",54.3851101907708,72.1353866290035
"79",2022-06-11,227151,-35.16875,151.6,79,"Jun",51.1552266421512,70.0462602648891
"80",2022-06-12,227151,-35.05,151.55,80,"Jun",43.0292526125085,64.4508076090169
"81",2022-06-13,227151,-34.9083333333333,151.375,81,"Jun",24.6353640161126,49.9260106626467
"82",2022-06-14,227151,-34.705,151.085,82,"Jun",4.835609890811,20.626982038793
"83",2022-06-15,227151,-34.605,151.025,83,"Jun",13.7771013662413,12.3832048668499
"84",2022-06-16,227151,-34.42,150.985,84,"Jun",24.5187080838323,7.19125038166332
"85",2022-06-17,227151,-34.6416666666667,151.2125,85,"Jun",3.81878117396265,29.9885647353244
"86",2022-06-18,227151,-32.0405,151.235,86,"Jun",100.401983469098,97.1052823991687
