Index,DeployID,Ptt,DepthSensor,Source,Instr,Day,Time,Time Offset,Count,InitLocQ,InitTime,InitLat,InitLon,Deepest,SSTTime,SSTDepth,SSTTemp,CorrectedSolarNoon,SolarLongitude,SolarLatitude,Type,Delta,MinDepth,MaxDepth,AttenShallow,AttenDeep,MinCorrectedLLDepth,TravelMetric,FoundPrevious,K,LL0,Depth0,LL1,Depth1,LL2,Depth2,LL3,Depth3,LL4,Depth4,LL5,Depth5,LL6,Depth6,LL7,Depth7,LL8,Depth8,LL9,Depth9,LL10,Depth10,LL11,Depth11,LL12,Depth12,LL13,Depth13,LL14,Depth14,LL15,Depth15,LL16,Depth16
18,"227151",227151,0.500000,Transmission,MiniPAT,03-Apr-2022,07:05:00,1,6,,,,,88,14:00:00 03-Apr-2022,25,22.6,,,,Dusk,600,48,80,,,,0,,61543,146,,141,,139,,135,,127,,114,,95,,73,,63,
19,"227151",227151,0.500000,Transmission,MiniPAT,03-Apr-2022,19:40:00,1,6,,,,,88,14:00:00 03-Apr-2022,25,22.6,,,,Dawn,450,48,80,,,,0,,22189,76,,92,,109,,122,,131,,139,,143,,147,,150,
20,"227151",227151,0.500000,Transmission,MiniPAT,04-Apr-2022,07:45:00,1,6,,,,,88,13:00:00 04-Apr-2022,26,22.6,,,,Dusk,300,48,48,,,,0,,58142,129,,123,,115,,106,,97,,86,,75,,67,,62,
21,"227151",227151,0.500000,Transmission,MiniPAT,04-Apr-2022,19:40:00,1,6,,,,,80,13:00:00 04-Apr-2022,26,22.6,,,,Dawn,300,48,80,,,,0,,53859,66,,77,,87,,98,,106,,113,,117,,121,,126,
22,"227151",227151,0.500000,Transmission,MiniPAT,05-Apr-2022,07:36:15,1,4,,,,,80,17:00:00 05-Apr-2022,27,22.2,,,,Dusk,300,48,80,,,,0,,16383,126,,122,,117,,109,,102,,92,,82,,72,,64,
23,"227151",227151,0.500000,Transmission,MiniPAT,05-Apr-2022,19:51:15,1,4,,,,,,17:00:00 05-Apr-2022,27,22.2,,,,Dawn,300,48,48,,,,0,,61963,90,,101,,110,,118,,125,,127,,128,,127,,126,
24,"227151",227151,0.500000,Transmission,MiniPAT,06-Apr-2022,07:02:30,1,5,,,,,,19:00:00 06-Apr-2022,26,22.1,,,,Dusk,600,48,80,,,,0,,64107,150,,145,,138,,139,,127,,114,,94,,76,,64,
25,"227151",227151,0.500000,Transmission,MiniPAT,06-Apr-2022,19:42:30,1,5,,,,,,19:00:00 06-Apr-2022,26,22.1,,,,Dawn,600,48,80,,,,0,,46336,78,,99,,114,,124,,128,,135,,142,,145,,147,
26,"227151",227151,0.500000,Transmission,MiniPAT,07-Apr-2022,07:20:00,1,6,,,,,103,17:00:00 07-Apr-2022,26,21.8,,,,Dusk,450,48,80,,,,0,,48488,147,,143,,138,,131,,120,,105,,87,,72,,67,
27,"227151",227151,0.500000,Transmission,MiniPAT,07-Apr-2022,19:48:45,1,6,,,,,97,17:00:00 07-Apr-2022,26,21.8,,,,Dawn,450,48,48,,,,0,,16232,95,,112,,126,,136,,142,,146,,148,,150,,155,
28,"227151",227151,0.500000,Transmission,MiniPAT,08-Apr-2022,07:48:45,2,4,,,,,97,19:00:00 08-Apr-2022,27,21.3,,,,Dusk,300,48,48,,,,0,,43079,122,,114,,105,,93,,81,,72,,64,,63,,61,
29,"227151",227151,0.500000,Transmission,MiniPAT,08-Apr-2022,19:43:45,2,4,,,,,96,19:00:00 08-Apr-2022,27,21.3,,,,Dawn,300,48,48,,,,0,,39218,73,,84,,94,,103,,112,,118,,122,,125,,131,
30,"227151",227151,0.500000,Transmission,MiniPAT,09-Apr-2022,06:47:30,2,5,,,,,96,15:00:00 09-Apr-2022,24,22.1,,,,Dusk,600,48,80,,,,0,,3224,123,,121,,118,,114,,107,,99,,84,,66,,59,
31,"227151",227151,0.500000,Transmission,MiniPAT,09-Apr-2022,19:51:15,2,5,,,,,96,15:00:00 09-Apr-2022,24,22.1,,,,Dawn,450,48,80,,,,0,,23127,68,,77,,90,,101,,107,,111,,118,,124,,127,
32,"227151",227151,0.500000,Transmission,MiniPAT,10-Apr-2022,07:10:00,2,7,,,,,96,17:00:00 10-Apr-2022,25,20.6,,,,Dusk,450,48,80,,,,0,,1084,132,,128,,126,,120,,112,,101,,87,,70,,56,
33,"227151",227151,0.500000,Transmission,MiniPAT,10-Apr-2022,19:47:30,2,7,,,,,,17:00:00 10-Apr-2022,25,20.6,,,,Dawn,450,48,80,,,,0,,40381,69,,86,,100,,111,,120,,126,,130,,134,,138,
34,"227151",227151,0.500000,Transmission,MiniPAT,11-Apr-2022,07:23:45,2,3,,,,,99,14:00:00 11-Apr-2022,19,22.4,,,,Dusk,450,48,80,,,,0,,6849,134,,130,,122,,111,,96,,80,,65,,54,,52,
35,"227151",227151,0.500000,Transmission,MiniPAT,11-Apr-2022,19:40:00,2,3,,,,,80,14:00:00 11-Apr-2022,19,22.4,,,,Dawn,450,48,80,,,,0,,11794,65,,77,,94,,110,,122,,131,,138,,143,,146,
36,"227151",227151,0.500000,Transmission,MiniPAT,12-Apr-2022,07:41:15,2,10,,,,,80,18:00:00 12-Apr-2022,19,22.6,,,,Dusk,300,48,80,,,,0,,49058,120,,111,,101,,89,,78,,70,,67,,57,,52,
37,"227151",227151,0.500000,Transmission,MiniPAT,12-Apr-2022,19:42:30,2,10,,,,,80,18:00:00 12-Apr-2022,19,22.6,,,,Dawn,450,48,80,,,,0,,990,64,,79,,95,,110,,116,,126,,134,,140,,141,
