DeployID,Ptt,DepthSensor,Source,Instr,Day,Time,LocationQuality,Latitude,Longitude,Depth,DRange,Temperature,TRange,Activity,ARange
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,17:50:00,,,,210.5,16.75,20.0,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,18:00:00,,,,183.0,16.25,21.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,18:10:00,,,,57.5,4.00,25.3,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,18:20:00,,,,50.5,4.25,25.3,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,18:30:00,,,,81.5,8.00,24.8,0.35,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,18:40:00,,,,108.5,8.50,23.8,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,18:50:00,,,,108.5,8.50,23.8,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,19:00:00,,,,129.0,15.50,23.3,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,19:10:00,,,,108.5,8.50,23.8,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,19:20:00,,,,108.5,8.50,23.3,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,19:30:00,,,,108.5,8.50,23.3,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,19:40:00,,,,129.0,15.50,22.7,0.35,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,19:50:00,,,,156.0,15.75,22.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,20:00:00,,,,156.0,15.75,22.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,20:10:00,,,,129.0,15.50,22.7,0.35,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,20:20:00,,,,95.0,8.00,24.3,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,20:30:00,,,,108.5,8.50,23.8,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,20:40:00,,,,129.0,15.50,22.7,0.35,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,20:50:00,,,,183.0,16.25,21.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,21:00:00,,,,156.0,15.75,21.7,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,21:10:00,,,,156.0,15.75,22.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,21:20:00,,,,183.0,16.25,21.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,21:30:00,,,,156.0,15.75,21.7,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,21:40:00,,,,156.0,15.75,22.2,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,21:50:00,,,,108.5,8.50,24.3,0.30,,
47622,47622,0.500000,Transmission,MiniPAT,26-Feb-2019,22:00:00,,,,81.5,8.00,24.8,0.35,,
