Ptt,Instr,Date,MinTemp,MaxTemp,MinDepth,MaxDepth,MaxDeltaTilt,AvgMinMaxTilt,DeltaLight
47622,MiniPAT,05/21/2019,9.4,29.1,-1.000000,423.000000,,,188.000000
47622,MiniPAT,05/22/2019,11.3,29.0,-1.000000,292.000000,,,163.000000
47622,MiniPAT,05/23/2019,11.1,29.1,-1.000000,272.000000,,,185.000000
47622,MiniPAT,05/24/2019,10.3,29.0,-1.000000,322.000000,,,183.000000
47622,MiniPAT,05/25/2019,10.1,29.1,-1.000000,338.000000,,,188.000000
47622,MiniPAT,05/26/2019,13.3,29.2,-1.000000,223.000000,,,186.000000
47622,MiniPAT,05/27/2019,9.8,29.1,-1.000000,371.000000,,,176.000000
47622,MiniPAT,05/28/2019,9.3,29.0,-1.000000,399.000000,,,178.000000
47622,MiniPAT,05/29/2019,10.6,28.9,-1.000000,321.000000,,,191.000000
47622,MiniPAT,05/30/2019,9.7,28.9,-1.000000,403.000000,,,181.000000
47622,MiniPAT,05/31/2019,9.2,28.9,-1.000000,443.000000,,,192.000000
47622,MiniPAT,06/01/2019,10.8,28.9,-1.000000,335.000000,,,191.000000
47622,MiniPAT,06/02/2019,5.9,28.9,-1.000000,793.000000,,,194.000000
47622,MiniPAT,06/03/2019,8.8,29.4,-1.000000,451.000000,,,176.000000
47622,MiniPAT,06/04/2019,11.1,29.4,-1.000000,317.000000,,,195.000000
47622,MiniPAT,06/05/2019,8.5,29.4,-1.000000,489.000000,,,184.000000
47622,MiniPAT,06/06/2019,9.2,29.4,-1.000000,427.000000,,,199.000000
47622,MiniPAT,06/07/2019,8.9,29.4,-1.000000,445.000000,,,188.000000
47622,MiniPAT,06/08/2019,8.7,29.5,-1.000000,453.000000,,,164.000000
47622,MiniPAT,06/09/2019,8.8,29.3,-1.000000,430.000000,,,192.000000
47622,MiniPAT,06/10/2019,8.7,29.0,-1.000000,456.000000,,,191.000000
47622,MiniPAT,06/11/2019,8.6,29.2,-1.000000,469.000000,,,186.000000
47622,MiniPAT,06/12/2019,9.0,29.2,-1.000000,431.000000,,,190.000000
47622,MiniPAT,06/13/2019,8.3,29.0,-1.000000,502.000000,,,196.000000
47622,MiniPAT,06/14/2019,9.5,29.3,-1.000000,415.000000,,,194.000000
47622,MiniPAT,06/15/2019,4.9,28.8,-1.000000,1004.000000,,,196.000000
47622,MiniPAT,06/16/2019,4.9,29.0,-1.000000,997.000000,,,201.000000
47622,MiniPAT,06/17/2019,11.8,28.5,-1.000000,288.000000,,,147.000000
47622,MiniPAT,06/18/2019,8.2,28.7,-1.000000,518.000000,,,192.000000
47622,MiniPAT,06/19/2019,8.3,29.1,-1.000000,492.000000,,,191.000000
47622,MiniPAT,06/20/2019,10.4,28.9,-1.000000,340.000000,,,189.000000
47622,MiniPAT,06/21/2019,13.8,28.9,-1.000000,271.000000,,,175.000000
47622,MiniPAT,06/22/2019,17.3,28.7,-1.000000,247.000000,,,173.000000
47622,MiniPAT,06/23/2019,11.6,28.9,-1.000000,320.000000,,,167.000000
47622,MiniPAT,06/24/2019,10.3,28.9,-1.000000,342.000000,,,191.000000
47622,MiniPAT,06/25/2019,13.7,28.8,-1.000000,258.000000,,,185.000000
47622,MiniPAT,06/26/2019,10.2,28.9,-1.000000,364.000000,,,173.000000
47622,MiniPAT,06/27/2019,9.8,28.8,-1.000000,360.000000,,,147.000000
47622,MiniPAT,06/28/2019,8.0,28.7,-1.000000,562.000000,,,186.000000
47622,MiniPAT,06/29/2019,9.2,28.8,-1.000000,467.000000,,,188.000000
47622,MiniPAT,06/30/2019,8.4,29.1,-1.000000,503.000000,,,185.000000
47622,MiniPAT,07/01/2019,10.8,29.0,-1.000000,338.000000,,,191.000000
