DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,LocationQuality,Latitude,Longitude,MinDepth,MinDepthAccuracy,MaxDepth,MaxDepthAccuracy,MinTemp,MinTempAccuracy,MaxTemp,MaxTempAccuracy,MobMean,MobSD,ActivitySum
47622,47622,0.500000,Transmission,MiniPAT,5,00:00:00 14-Apr-2019,08:00:00 14-Apr-2019,,,,0.0,0.00,296.0,3.75,11.1,0.00,29.8,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,7,08:00:00 14-Apr-2019,16:00:00 14-Apr-2019,,,,0.0,0.00,616.0,7.75,7.1,0.00,29.5,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,6,16:00:00 14-Apr-2019,00:00:00 15-Apr-2019,,,,0.0,0.00,320.0,3.75,10.8,0.00,29.5,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,5,00:00:00 15-Apr-2019,08:00:00 15-Apr-2019,,,,0.0,0.00,408.0,3.75,9.3,0.00,29.5,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,6,08:00:00 15-Apr-2019,16:00:00 15-Apr-2019,,,,0.0,0.00,256.0,3.75,12.1,0.00,29.5,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,3,16:00:00 15-Apr-2019,00:00:00 16-Apr-2019,,,,0.0,0.00,240.0,1.75,12.8,0.00,29.5,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,00:00:00 16-Apr-2019,08:00:00 16-Apr-2019,,,,0.0,0.00,236.0,1.75,12.8,0.00,29.8,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,08:00:00 16-Apr-2019,16:00:00 16-Apr-2019,,,,0.0,0.00,249.0,2.75,12.8,0.00,29.4,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,1,16:00:00 16-Apr-2019,00:00:00 17-Apr-2019,,,,0.0,0.00,520.0,7.75,8.3,0.00,29.8,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,00:00:00 17-Apr-2019,08:00:00 17-Apr-2019,,,,0.0,0.00,632.0,7.75,6.8,0.00,29.8,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,4,08:00:00 17-Apr-2019,16:00:00 17-Apr-2019,,,,91.5,0.75,204.0,1.75,17.7,0.00,28.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,3,16:00:00 17-Apr-2019,00:00:00 18-Apr-2019,,,,0.0,0.00,200.0,1.75,17.0,0.00,29.6,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,5,00:00:00 18-Apr-2019,08:00:00 18-Apr-2019,,,,0.0,0.00,200.0,1.75,17.0,0.00,29.6,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,3,08:00:00 18-Apr-2019,16:00:00 18-Apr-2019,,,,0.0,0.00,228.0,1.75,14.6,0.00,29.5,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,16:00:00 18-Apr-2019,00:00:00 19-Apr-2019,,,,0.0,0.00,448.0,3.75,8.6,0.00,29.9,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,1,00:00:00 20-Apr-2019,08:00:00 20-Apr-2019,,,,0.0,0.00,336.0,3.75,10.8,0.00,29.6,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,08:00:00 20-Apr-2019,16:00:00 20-Apr-2019,,,,0.0,0.00,384.0,3.75,10.1,0.00,29.5,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,16:00:00 20-Apr-2019,00:00:00 21-Apr-2019,,,,,,,,16.1,0.00,29.5,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,5,00:00:00 21-Apr-2019,08:00:00 21-Apr-2019,,,,12.5,0.00,320.0,3.75,11.3,0.00,29.6,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,3,08:00:00 21-Apr-2019,16:00:00 21-Apr-2019,,,,0.0,0.00,224.0,1.75,15.7,0.00,29.5,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,4,16:00:00 21-Apr-2019,00:00:00 22-Apr-2019,,,,0.0,0.00,240.0,1.75,14.6,0.00,29.8,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,5,00:00:00 22-Apr-2019,08:00:00 22-Apr-2019,,,,0.0,0.00,249.0,2.75,12.6,0.00,29.8,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,4,08:00:00 22-Apr-2019,16:00:00 22-Apr-2019,,,,0.0,0.00,264.0,3.75,14.3,0.00,29.6,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,3,16:00:00 22-Apr-2019,00:00:00 23-Apr-2019,,,,0.0,0.00,220.0,1.75,15.3,0.00,29.8,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,5,00:00:00 23-Apr-2019,08:00:00 23-Apr-2019,,,,0.0,0.00,244.0,1.75,14.2,0.00,29.8,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,5,08:00:00 23-Apr-2019,16:00:00 23-Apr-2019,,,,0.0,0.00,288.0,3.75,11.3,0.00,29.6,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,5,16:00:00 23-Apr-2019,00:00:00 24-Apr-2019,,,,0.0,0.00,400.0,3.75,9.6,0.00,29.6,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,3,00:00:00 24-Apr-2019,08:00:00 24-Apr-2019,,,,0.0,0.00,320.0,3.75,10.8,0.00,29.8,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,08:00:00 24-Apr-2019,16:00:00 24-Apr-2019,,,,0.0,0.00,244.0,1.75,12.8,0.00,29.6,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,1,16:00:00 24-Apr-2019,00:00:00 25-Apr-2019,,,,0.0,0.00,506.0,5.75,8.1,0.00,29.6,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,3,00:00:00 25-Apr-2019,08:00:00 25-Apr-2019,,,,0.0,0.00,256.0,3.75,12.1,0.00,29.6,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,3,08:00:00 25-Apr-2019,16:00:00 25-Apr-2019,,,,0.0,0.00,236.0,1.75,13.6,0.00,29.5,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,16:00:00 25-Apr-2019,00:00:00 26-Apr-2019,,,,7.5,0.00,288.0,3.75,11.3,0.00,29.5,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,3,00:00:00 26-Apr-2019,08:00:00 26-Apr-2019,,,,0.0,0.00,296.0,3.75,10.6,0.00,29.6,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,4,08:00:00 26-Apr-2019,16:00:00 26-Apr-2019,,,,0.0,0.00,220.0,1.75,14.2,0.00,29.5,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,4,16:00:00 26-Apr-2019,00:00:00 27-Apr-2019,,,,0.0,0.00,312.0,3.75,10.6,0.00,29.5,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,00:00:00 27-Apr-2019,08:00:00 27-Apr-2019,,,,0.0,0.00,352.0,3.75,9.8,0.00,29.5,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,08:00:00 27-Apr-2019,16:00:00 27-Apr-2019,,,,0.0,0.00,256.0,3.75,12.3,0.00,29.5,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,16:00:00 27-Apr-2019,00:00:00 28-Apr-2019,,,,0.0,0.00,464.0,3.75,8.8,0.00,29.4,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,1,00:00:00 28-Apr-2019,08:00:00 28-Apr-2019,,,,0.0,0.00,256.0,3.75,12.1,0.00,29.5,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,1,00:00:00 29-Apr-2019,08:00:00 29-Apr-2019,,,,0.0,0.00,368.0,3.75,10.1,0.00,29.5,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,08:00:00 29-Apr-2019,16:00:00 29-Apr-2019,,,,0.0,0.00,256.0,3.75,12.8,0.00,29.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,16:00:00 29-Apr-2019,00:00:00 30-Apr-2019,,,,0.0,0.00,480.0,3.75,8.8,0.00,29.5,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,3,00:00:00 30-Apr-2019,08:00:00 30-Apr-2019,,,,0.0,0.00,320.0,3.75,10.8,0.00,29.5,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,7,08:00:00 30-Apr-2019,16:00:00 30-Apr-2019,,,,0.0,0.00,696.0,7.75,6.3,0.00,29.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,5,16:00:00 30-Apr-2019,00:00:00 01-May-2019,,,,0.0,0.00,336.0,3.75,10.6,0.00,29.4,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,00:00:00 01-May-2019,08:00:00 01-May-2019,,,,0.0,0.00,264.0,3.75,12.1,0.00,29.4,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,1,08:00:00 01-May-2019,16:00:00 01-May-2019,,,,0.0,0.00,240.0,1.75,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,1,16:00:00 01-May-2019,00:00:00 02-May-2019,,,,,,,,10.8,0.00,29.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,1,00:00:00 02-May-2019,08:00:00 02-May-2019,,,,39.5,0.25,224.0,1.75,17.0,0.00,29.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,2,08:00:00 02-May-2019,16:00:00 02-May-2019,,,,0.0,0.00,196.0,1.75,18.1,0.00,29.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,3,16:00:00 02-May-2019,00:00:00 03-May-2019,,,,0.0,0.00,480.0,3.75,8.4,0.00,29.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,4,00:00:00 03-May-2019,08:00:00 03-May-2019,,,,0.0,0.00,208.0,1.75,15.7,0.00,29.5,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,3,08:00:00 03-May-2019,16:00:00 03-May-2019,,,,0.0,0.00,204.0,1.75,18.8,0.00,29.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,3,16:00:00 03-May-2019,00:00:00 04-May-2019,,,,0.0,0.00,312.0,3.75,10.3,0.00,29.5,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,6,00:00:00 04-May-2019,08:00:00 04-May-2019,,,,0.0,0.00,312.0,3.75,10.6,0.00,29.5,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,6,08:00:00 04-May-2019,16:00:00 04-May-2019,,,,0.0,0.00,228.0,1.75,15.4,0.00,29.3,0.00,,,
47622,47622,0.500000,Transmission,MiniPAT,6,16:00:00 04-May-2019,00:00:00 05-May-2019,,,,0.0,0.00,272.0,3.75,11.8,0.00,29.4,0.00,,,
