DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
47622,47622,0.500000,Transmission,MiniPAT,TAT,00:00:00 11-Mar-2019,-1.000000,2,,,,,12,100,0,0,1.0,6.3,3.1,8.3,17.7,16.7,13.5,6.3,27.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,TAT,00:00:00 12-Mar-2019,-1.000000,2,,,,,12,100.000000,0,0,1.0,1.0,1.0,10.3,17.5,30.9,25.8,6.2,6.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,TAT,00:00:00 14-Mar-2019,-1.000000,4,,,,,12,100,0,0,0,5.2,3.1,4.1,17.5,28.9,21.6,8.2,10.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,TAT,00:00:00 15-Mar-2019,-1.000000,2,,,,,12,100.000000,1.0,1.0,2.1,1.0,1.0,2.1,16.5,14.4,35.1,16.5,8.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,TAT,00:00:00 16-Mar-2019,-1.000000,4,,,,,12,100,0,1.1,1.1,6.3,4.2,8.4,8.4,14.7,24.2,28.4,2.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,TAT,00:00:00 17-Mar-2019,-1.000000,3,,,,,12,100,1.0,1.0,3.1,3.1,6.2,5.2,13.4,17.5,28.9,12.4,7.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,TAT,00:00:00 18-Mar-2019,-1.000000,1,,,,,12,100.000000,0,0,1.0,3.1,2.1,11.3,17.5,16.5,21.6,11.3,15.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,TAT,00:00:00 19-Mar-2019,-1.000000,5,,,,,12,100.000000,0,0,2.1,2.1,11.5,15.6,8.3,20.8,16.7,9.4,12.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,TAT,00:00:00 21-Mar-2019,-1.000000,2,,,,,12,100.000000,1.0,1.0,2.1,2.1,7.2,8.2,14.4,23.7,18.6,7.2,10.3,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47622,47622,0.500000,Transmission,MiniPAT,TAT,00:00:00 22-Mar-2019,-1.000000,2,,,,,12,100,1.1,1.1,2.1,2.1,1.1,14.7,17.9,15.8,15.8,10.5,12.6,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
